978-4-101126-01-2	0000017486	2002/12/07	死者の奢り／飼育		新潮文庫	大江　健三郎	913.6	ｵ		新潮社	1986	248	15	2002
978-4-003355-91-6	0000017490	2002/10/19	ワーグマン日本素描集		岩波文庫	清水　勲．編	382.1	ｼ		岩波書店	1987	220	16	2002
	0000017491	2002/09/07	ウパデーシャ・サーハスリー　／真実の自己の探求／		岩波文庫	シャンカラ／前田　専学．訳	159	ｼ		岩波書店	1988	301	15	2002
978-4-003367-11-7	0000017492	2002/11/17	ことばのロマンス　／英語の語源		岩波文庫	ウィークリー．著／寺澤　芳雄／出淵　博．訳	832	ｳ		岩波書店	1987	491	15	2002
978-4-003367-21-6	0000017493	2002/09/01	学問の方法		岩波文庫	ヴィーコ／上村　忠男・佐々木　力．訳	002	ﾋﾞ		岩波書店	1987	229	15	2002
978-4-003422-21-2	0000017494	2002/09/01	世論　〈上〉		岩波文庫	Ｗ．リップマン／掛川　トミ子．訳	070	ﾘ	上	岩波書店	1987	270	15	2002
978-4-003300-41-1	0000017495	2002/09/01	政談		岩波文庫	荻生　徂来．著／辻　達也．校注	121.56	ｵ		岩波書店	1987	386	15	2002
978-4-003312-04-9	0000017497	2002/09/17	徳川家康　〈下〉		岩波文庫	山路　愛山	289	ﾔ	下	岩波書店	1988	364	15	2002
	0000017510	2002/01/01	こうよう　三十年の歩み		養老女子商業高等学校		376.4	ｷﾞ		養老女子商業高等学校	1979	82	27	2002
978-4-895631-05-1	0000017516	2002/10/11	明治ニュース事典　８　／明治41--45／		ニュース事典	毎日新聞社／編集委員会	027.5	ﾏ	8	毎日コミュニケーションズ	1986		27	2002
978-4-895631-05-1	0000017517	2002/10/11	明治ニュース事典　７　／明治36--40／		ニュース事典	毎日新聞社／編集委員会	027.5	ﾏ	7	毎日コミュニケーションズ	1986		27	2002
978-4-870882-47-8	0000017521	2002/11/23	上方の文化　／元禄の文学と芸能			大阪女子大学国文学研究室．編	910.26	ｵ		和泉書院	1987	190	20	2002
