ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
978-4-469162-16-5	0000030208	2002/10/26	実戦　陸上競技　／トラック編		スポーツＱ＆Ａシリーズ	日本陸上競技連盟．編	782	ﾆ		大修館書店	1992	287	21	2002
	0000030209	2002/02/13	トットちゃんが出会った子どもたち　--田沼武能写真集--		写真集	田沼　武能	748	ﾀ		岩崎書店	1996	143	26	2002
978-4-003312-47-6	0000030212	2002/09/05	西田幾多郎随筆集		岩波文庫	西田　幾多郎／上田　閑照．編	121.6	ﾆ		岩波書店	1996	398	15	2002
978-4-003102-86-2	0000030213	2002/11/26	虚子五句集　／付．慶弔贈答句抄　〈下〉		岩波文庫	高浜　虚子	911.3	ﾀ	下	岩波書店	1996	404	15	2002
	0000030220	2002/02/14	グリム　ラプンツェル		絵本	グリム／バーナディット・ワッツ．絵／相良　守峯．訳	726.5	ﾜ		岩波書店	1985	26	33	2002
978-4-311602-23-8	0000030236	2002/06/07	人からもらった 忘れられない言葉			岐阜県笠原町．編	159	ｷﾞ		学生社	1996	219	19	2002
978-4-003102-85-5	0000030237	2002/11/26	虚子五句集　／付．慶弔贈答句抄　〈上〉		岩波文庫	高浜　虚子	911.3	ﾀ	上	岩波書店	1996	340	15	2002
	0000030254	2002/02/27	人文系の小論文		学習参考書	河合塾小論文科	816	ｶ		河合出版	1995	247	21	2002
978-4-002602-82-0	0000030260	2002/10/30	民俗の思想　／常民の世界観と死生観		同時代ライブラリー２８２	谷川　健一	389.1	ﾀ		岩波書店	1996	278	16	2002
978-4-004304-64-7	0000030263	2002/08/03	職人		岩波新書Ｒ４６４	永　六輔	914.6	ｴ		岩波書店	1996	210	18	2002
	0000030264	2002/02/23	現代社会の理論　--情報化・消費化社会の現在と未来--		岩波新書Ｒ４６５	見田　宗介	361	ﾐ		岩波書店	1996	188	18	2002
978-4-004304-66-1	0000030265	2002/05/27	脳を育てる		岩波新書Ｒ４６６	高木　貞敬	491.371	ﾀ		岩波書店	1996	211	18	2002
978-4-004304-67-8	0000030266	2002/07/13	ジャズと生きる		岩波新書Ｒ４６７	穐吉　敏子	764.7	ｱ		岩波書店	1996	232	18	2002
978-4-005002-80-1	0000030267	2002/07/29	やさしい英字新聞入門		岩波ジュニア新書２８０	天満　美智子／エリック・ベレント	837	ﾍﾞ		岩波書店	1986	204	18	2002
978-4-062571-44-9	0000030269	2002/03/27	物理定数とは何か　／自然を支配する普遍数のふしぎ／		BLUE BACKS Ｂ-１１４４	西條　敏美	420	ｻ		講談社	1996	279	18	2002
978-4-062571-42-5	0000030271	2002/06/26	図解・できるパソコン接続　／解決ハンドブック／		BLUE BACKS B-１１４２	加藤　肇／見城　尚志／高橋　久	548	ｶ		講談社	1996	409	18	2002
978-4-121013-23-1	0000030272	2002/03/04	「生活者」とはだれか　--自律的市民像の系譜--		中公新書１３２３	天野　正子	361.47	ｱ		中央公論社	1996	242	18	2002
