ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
	0000000004	2003/06/08	２０世紀を動かした人々１１／現代世界の政治家		全集　１１	江口　朴郎	280	ｴﾎﾞ	11	講談社	1963	430	19	2003
	0000000005	2003/05/19	無宿人　／佐渡金山秘史			磯部　欣三	211	ｲｷ		人物往来社	1964	232	19	2003
	0000000009	2003/05/19	血涙薩摩義士物語　／宝暦治水			池水　喜一	211	ｲｷ		池水喜一	1971	228	19	2003
	0000000049	2003/12/04	新簡約英和辞典		辞典	岩崎　民平／研究社辞書部	833	ｹ		研究社	1958	2142	20	2003
	0000000104	2003/11/22	古典読解辞典		辞典	白石　大二／新間　進一／広田　栄太郎／松村　明．共編	803	ｼﾀ		東京堂	1959	850	19	2003
	0000000105	2003/12/01	現代　世界人名辞典		辞典	平凡社／下中　彌三郎	280.	ｼﾔ		平凡社	1955	501	21	2003
	0000000106	2003/09/14	動物の事典			岡田　要．監修／	480.3	ｵｶ		東京堂	1959	590	22	2003
	0000000110	2003/09/14	植物の事典		事典	小倉　謙．監修／佐竹　義輔．他編	470.33	ｻｷ		東京堂	1959	594	22	2003
	0000000252	2003/06/28	キュリー夫人傳			エーヴ・キュリー／川口　篤／河盛　好蔵．他訳	289.34	ｷ		白水社	1957	504	19	2003
	0000000563	2003/04/01	敗戦日記			高見　順	915.6	ﾀｼﾞ		文藝春秋	1959	407	20	2003
	0000000925	2003/11/06	日本詩歌集			山本　健吉．編	911	ﾔｹ		平凡社	1959	812	16	2003
	0000001818	2003/03/05	人生論ノート		新潮文庫	三木　清	914.6	ﾐｷ		新潮社	1978	152	15	2003
	0000002027	2003/06/01	物語西洋史　／毎日ライブラリー		毎日ライブラリー	秀村　欣二	230	ﾋｷ		毎日新聞社	1959	308	19	2003
	0000002028	2003/12/02	世界人物事典　／毎日ライブラリー		毎日ライブラリー	毎日新聞社．編	280.3	ﾏ		毎日新聞社	1953	474	19	2003
	0000002127	2003/09/06	日本の気象　／毎日ライブラリー			高橋　浩一郎．編	451	ﾀｺ		毎日新聞社	1956	289	19	2003
