978-4-061847-17-0	0000021836	2003/01/31	駅に佇つ人		講談社文庫	夏樹　静子	913.6	ﾅｼ		講談社	1990	289	15	2003
978-4-167184-15-5	0000021838	2003/02/02	死の谷から来た女		文春文庫	夏樹　静子	913.6	ﾅｼ		文藝春秋	1990	332	15	2003
978-4-167153-13-7	0000021841	2003/02/02	舞え舞え蝸牛　／新・落窪物語		文春文庫	田辺　聖子	913.6	ﾀｾ		文藝春秋	1990	331	15	2003
978-4-061845-83-1	0000021842	2003/01/31	双頭の蛇　〈下〉		講談社文庫	栗本　薫	913.6	ｸｶ	下	講談社	1989	263	15	2003
978-4-061845-82-4	0000021843	2003/01/31	双頭の蛇　〈上〉		講談社文庫	栗本　薫	913.6	ｸｶ	上	講談社	1989	270	15	2003
978-4-575502-73-2	0000021845	2003/02/01	猫女			泡坂　妻夫	913.6	ｱﾂ		双葉社		303	15	2003
978-4-167378-05-9	0000021848	2003/02/01	折鶴		文春文庫	泡坂　妻夫	913.6	ｱﾂ		文藝春秋	1991	302	15	2003
978-4-061848-03-0	0000021849	2003/01/03	天狼星　㈼		講談社文庫	栗本　薫	913.6	ｸ	2	講談社	1990	405	15	2003
978-4-488142-04-9	0000021851	2003/07/24	殺意の夏		創元推理文庫	セバスチアン・ジャプリゾ／望月　芳郎．訳	953	ｼﾞ		東京創元社	1986	413	15	2003
978-4-150201-26-5	0000021853	2003/04/29	帝国の娘　〈上〉		早川文庫	レイモンド・Ｅ・フィースト＆ジャーニー・ワーツ／岩原　明子．訳	933	ﾌ	上	早川書房	1989	329	15	2003
978-4-150201-40-1	0000021854	2003/05/07	妖魔の戯れ		早川文庫	タニス・リー／浅羽　莢子．訳	933	ﾘ		早川書房	1990	391	15	2003
978-4-150200-01-5	0000021855	2003/05/07	妖女サイベルの呼び声		早川文庫	パトリシア・Ａ・マキリップ／佐藤　高子．訳	933	ﾏ		早川書房	1990	308	15	2003
978-4-041784-01-3	0000021856	2003/02/16	花堕ちる　〈上〉		角川文庫	連城　三紀彦	913.6	ﾚﾐ	上	角川書店	1990	291	15	2003
978-4-167420-04-8	0000021857	2003/02/16	青き犠牲		文春文庫	連城　三紀彦	913.6	ﾚﾐ		文藝春秋	1989	222	15	2003
978-4-041784-02-0	0000021858	2003/02/16	花堕ちる　〈下〉		角川文庫	連城　三紀彦	913.6	ﾚﾐ	下	角川書店	1990	307	15	2003
978-4-488167-08-0	0000021859	2003/04/11	黒後家蜘蛛の会　５		創元推理文庫	アイザック・アシモフ／池　央耿．訳	933	ｱ	5	東京創元社	1990	349	15	2003
978-4-150201-27-2	0000021860	2003/04/29	帝国の娘　〈下〉		早川文庫	レイモンド・Ｅ・フィースト＆ジャーニー・ワーツ／岩原　明子．訳	933	ﾌ	下	早川書房	1989	308	15	2003
978-4-150771-03-4	0000021861	2003/04/29	ハリーを探せ		早川文庫	リチャード・ホイト／浅倉　久志．訳	933	ﾎ		早川書房	1990	302	15	2003
978-4-309460-45-1	0000021862	2003/04/22	ルー・サンクション		河出文庫	トレヴェニアン／上田　克之．訳	933	ﾄ		河出書房新社	1988	379	15	2003
978-4-042450-01-6	0000021863	2003/05/07	バスク、真夏の死		角川文庫	トレヴェニアン／町田　康子．訳	933	ﾄ		角川書店	1986	332	15	2003
978-4-576870-34-2	0000021864	2003/04/22	〈赤い風〉の罠		二見文庫	ジョン・クロスビー／伏見　威蕃．訳	933	ｸ		二見書房	1987	382	15	2003
978-4-383025-45-4	0000021865	2003/05/23	公爵ロビーの大逃走		サンケイ文庫	グレゴリー・マクドナルド／佐藤　和彦．訳	933	ﾏ		サンケイ出版	1986	349	15	2003
978-4-488255-01-5	0000021866	2003/07/24	三回殺して、さようなら		創元推理文庫	パスカル・レネ／田中　淳一．訳	953	ﾙ		東京創元社	1988	324	15	2003
978-4-002400-98-3	0000021872	2003/06/10	東路記／己巳紀行／西遊記　／新日本古典文学大系　９８		新日本古典文学大系　９８	板坂　耀子．他	910.8	ｲﾖ	98	岩波書店	1991	477	22	2003
978-4-140091-55-5	0000021874	2003/10/17	美の回廊をゆく・東南アジア至宝の旅　１			ＮＨＫ取材班．他	702.2	ｴ	1	日本放送出版協会	1991	141	25	2003
978-4-106207-23-5	0000021889	2003/06/25	滝沢馬琴　／新潮古典文学アルバム　２３		新潮古典文学アルバム　２３	徳田　武／森田　誠吾	910.8	ｼ	23	新潮社	1991	111	20	2003
978-4-643890-23-5	0000021890	2003/02/05	一夢庵風流記			隆　慶一郎	913.6	ﾘｹ		読売新聞社	1991	453	20	2003
	0000021891	2003/06/20	ジャパニーズ・ロビンソン・クルーソー			小谷部　全一郎．著／生田　俊彦．訳	289.1	ｵｾ		皆美社	1991	249	20	2003
