ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
978-4-163525-30-3	0000030821	2003/09/12	もっとウソを！　／男と女と科学の悦楽			日高　敏隆／竹内　久美子．共著	469.04	ﾋﾄ		文藝春秋	1997	228	19	2003
978-4-163524-50-4	0000030822	2003/04/04	告白			井口　俊英	916	ｲﾄ		文藝春秋	1997	323	20	2003
978-4-163523-30-9	0000030825	2003/04/12	人間の事実			柳田　邦男	916	ﾔｸ		文藝春秋	1997	596	20	2003
978-4-048730-16-7	0000030826	2003/02/03	東京怪奇地図			森　真沙子	913.6	ﾓﾏ		角川書店	1997	261	20	2003
978-4-576960-53-1	0000030827	2003/04/11	病院で寝て観て楽しかったこと　／（三食・昼寝・手術つき）			山本　和夫	916	ﾔｶ		リヨン社	1996	253	20	2003
	0000030828	2003/07/01	銭湯へ行こう・旅情編　【カラー版】　／一〇年一〇八九軒行脚の記録			町田　忍．文・写真	291.09	ﾏｼ		ＴＯＴＯ出版	1996	175	19	2003
978-4-887060-55-5	0000030829	2003/04/08	澤の屋は外国人宿　／下町・谷中の家族旅館奮闘記　			澤　功	916	ｻｲ		ＴＯＴＯ出版	1994	231	19	2003
978-4-105317-02-7	0000030830	2003/09/18	小犬の生活／ダーシェンカ㈼			カレル・チャペック／伴田　良輔．監訳	489.56	ﾁ	2	新潮社	1997	81	19	2003
978-4-334971-26-7	0000030831	2003/07/11	日本大転換　／二十一世紀へ希望を手渡すために			菅　直人	312.8	ｶﾅ		光文社	1996	226	20	2003
978-4-087732-64-1	0000030832	2003/05/11	モグラびと　／ニューヨーク地下生活者たち			ジェニファー・トス／渡辺　葉．訳	936	ﾄ		集英社	1997	318	20	2003
978-4-540880-71-1	0000030834	2003/07/30	この国は恐ろしい国　／もう一つの老後		人間選書１３０	関　千枝子	369	ｾﾁ		農山漁村文化協会	1989	202	19	2003
978-4-488023-34-8	0000030835	2003/01/13	ななつのこ			加納　朋子	913.6	ｶ		東京創元社	1995	254	20	2003
978-4-120026-33-1	0000030836	2003/01/21	中国武将列伝　〈上〉			田中　芳樹	913.6	ﾀ	上	中央公論社	1996	230	20	2003
978-4-120026-45-4	0000030837	2003/01/21	中国武将列伝　〈下〉			田中　芳樹	913.6	ﾀ	下	中央公論社	1996	227	20	2003
978-4-022569-94-3	0000030839	2003/02/01	海辺の小さな町			宮城谷　昌光	913.6	ﾐﾏ		朝日新聞社	1996	285	20	2003
978-4-584182-69-7	0000030842	2003/04/25	わが娘を愛せなかった大統領へ　／虐待されたトラウマを癒すまで			パティ・デイビス／玉置　悟．訳	933	ﾃﾞ		ＫＫベストセラーズ	1997	303	20	2003
978-4-152080-59-2	0000030843	2003/05/11	わたしを見かけませんでしたか？			コーリイ・フォード／浅倉　久志．訳	937	ﾌ		早川書房	1997	219	20	2003
978-4-152080-63-9	0000030844	2003/09/02	時間について　／アインシュタインが残した謎とパラドックス			ポール・デイヴィス／林　一．訳	421.2	ﾃﾞ		早川書房	1997	434	20	2003
978-4-338124-01-0	0000030847	2003/07/09	嵐の大地　パタゴニア　／グレートジャーニー人類５万キロの旅　１			関野　吉晴	296.09	ｾﾖ		小峰書店	1996	119	22	2003
978-4-087742-43-5	0000030849	2003/01/12	いちげんさん			デビット・ゾペティ	913.6	ｿﾞ		集英社	1997	190	19	2003
978-4-877192-07-5	0000030850	2003/04/15	爆笑封神演義　／歴史人物笑史			シブサワ　コウ．編	923	ｼｺ		光栄	1995	167	19	2003
978-4-130642-24-8	0000030851	2003/09/12	吹矢と精霊　／熱帯林の世界㈬			伊谷　純一郎／大塚　柳太郎．編／口蔵　幸雄．著	469	ｸﾕ	4	東京大学出版会	1996	211	20	2003
978-4-130642-23-1	0000030852	2003/09/12	森を語る男　／熱帯林の世界㈫			伊谷　純一郎／大塚　柳太郎．編／加納　隆至．著	469	ｶﾀ	3	東京大学出版会	1996	217	20	2003
978-4-140052-59-4	0000030853	2003/01/11	毛利元就　〈上〉			内館　牧子	913.6	ｳ	上	日本放送出版協会	1997	333	20	2003
978-4-784300-93-8	0000030854	2003/10/06	日本建築の鑑賞基礎知識　／書院造から現代住宅まで			平井　聖／鈴木　解雄	521	ﾋｷ		至文堂	1995	254	26	2003
978-4-784301-57-7	0000030855	2003/10/22	絵巻物の鑑賞基礎知識			若杉　準治．編	721.2	ﾜｼﾞ		至文堂	1995	272	26	2003
978-4-887060-67-8	0000030857	2003/10/08	寄生虫博士・トイレを語る　／中国・東南アジア体験記			鈴木　了司	528.1	ｽﾉ		ＴＯＴＯ出版	1996	218	19	2003
978-4-795302-08-2	0000030858	2003/09/15	人イヌにあう		至誠堂選書　１	コンラート・ローレンツ．著／小原　秀雄．訳	481.78	ﾛ		至誠堂	1995	255	19	2003
978-4-794207-43-2	0000030860	2003/05/05	インターネットはからっぽの洞窟			クリフォード・ストール．著／倉骨　彰．訳	934	ｽ		草思社	1997	405	20	2003
978-4-576960-47-0	0000030862	2003/10/04	開業医だからできること			関根　博	498.14	ｾﾋ		二見書房	1996	235	20	2003
978-4-381102-43-0	0000030863	2003/10/15	２×４材で作る・かんたん日曜大工　／白木のパソコンデスクを作ろう		手作りマイホーム・マニュアル	藤岡　等	592.7	ﾌﾋ		山海堂	1997	221	21	2003
978-4-870242-53-1	0000030865	2003/04/07	無音の音が聞こえる　／映画「四つの終止符」の波紋			木部　克己	916	ｷｶ		あさを社	1997	263	20	2003
978-4-841507-19-5	0000030866	2003/01/23	わが少年記			中野　孝次	913.6	ﾅ		弥生書房	1997	221	20	2003
978-4-773358-22-3	0000030867	2003/08/07	イスラエルの保育論争			石垣　恵美子	376.1	ｲｴ		近代文芸社	1997	200	19	2003
978-4-163167-40-4	0000030868	2003/01/23	冬物語			南木　佳士	913.6	ﾅ		文藝春秋	1997	213	20	2003
978-4-931284-19-7	0000030870	2003/04/26	野の花のように			ロザムンド・ピルチャー／中村　妙子．訳	933	ﾋﾟ		朔北社	1997	270	20	2003
978-4-062086-07-3	0000030872	2003/02/07	家族シネマ			柳　美里	913.6	ﾕﾐ		講談社	1997	159	20	2003
978-4-048834-64-3	0000030873	2003/02/06	水辺のゆりかご			柳　美里	913.6	ﾕﾐ		角川書店	1997	222	20	2003
978-4-833110-42-6	0000030874	2003/04/04	町長襲撃　／産廃とテロに揺れた町			朝日新聞名古屋社会部	916	ｱ		朝日新聞社	1997	323	19	2003
978-4-104157-01-3	0000030876	2003/04/10	食う寝る坐る　永平寺修行記			野々村　馨	916	ﾉｶ		新潮社	1997	312	20	2003
978-4-947711-02-1	0000030879	2003/02/21	すべての怒りは水のごとくに			灰谷　健次郎	914	ﾊｹ		倫書房	1997	251	20	2003
978-4-877281-52-6	0000030880	2003/04/01	ロマンティックな旅へ　／イギリス編／			松本　侑子	915.6	ﾏﾕ		幻冬舎	1997	265	20	2003
978-4-900845-06-0	0000030882	2003/02/02	シズコズ　ドーター			キョウコ・モリ／池田　真紀子．訳	913.6	ﾓｷ		青山出版社	1997	280	20	2003
978-4-062056-53-3	0000030884	2003/04/15	ワイルド・スワン　〈上〉			ユン・チアン．作／土屋　京子．訳	923	ﾕ	上	講談社	1994	378	20	2003
978-4-062062-54-1	0000030885	2003/04/15	ワイルド・スワン　〈下〉			ユン・チアン．作／土屋　京子．訳	923	ﾕ	下	講談社	1994	389	20	2003
	0000030889	2003/08/05	日本一王国ぎふ　／岐阜県の日本一ガイドブック／続・ＧＩＦＵ県聞録			岐阜県	291.53	ｷﾞ		岐阜県統計協会	1996	175	21	2003
	0000030890	2003/04/13	三國志		パンフレット	劇団影ぼうし	923	ｹﾞ		劇団影ぼうし	1991	77	30	2003
978-4-569554-03-7	0000030892	2003/07/10	楽園　（ペポニ）　／ケニア人カラニッポン人へのメッセージ			ピーター・オルワ／近藤　純夫．構成	294.54	ｵ		ＰＨＰ研究所	1996	197	20	2003
978-4-828813-45-5	0000030894	2003/05/13	トッレ南へ　／トッレ王物語　２		トッレ王物語　２	イルメリン・サンドマン・リリウス．作・絵／山口　卓文．訳	949.4	ﾘ	2	福武書店	1989	204	19	2003
978-4-163526-20-1	0000030895	2003/05/09	マイケル・ジョーダン　リバウンド			ボブ・グリーン／土屋　晃．訳	936	ｸﾞ		文藝春秋	1997	394	20	2003
978-4-487792-78-8	0000030896	2003/04/04	カリブ海おひるねスケッチ			野中　ともそ．絵・文	915	ﾉﾄ		東京書籍	1996	159	21	2003
978-4-120026-42-3	0000030897	2003/02/20	童門式「超」時間活用法			童門　冬二	914.6	ﾄﾞﾌ		中央公論社	1997	245	18	2003
978-4-794207-45-6	0000030899	2003/03/08	在日韓国人三世の胸のうち			李　青若	914.6	ﾘｾ		草思社	1997	221	20	2003
978-4-198606-61-9	0000030901	2003/01/21	「銀河英雄伝説」読本			田中　芳樹／らいとすたっふ	913.6	ﾀ		中央公論社	1997	193	21	2003
978-4-022570-41-3	0000030902	2003/04/11	はるかなる東洋医学			本多　勝一	916	ﾎｶ		朝日新聞社	1997	261	20	2003
978-4-890391-38-7	0000030903	2003/02/09	バイカルチャーものがたり			大矢　タカヤス	914.6	ｵﾀ		日本図書刊行会	1997	200	20	2003
978-4-002602-97-4	0000030909	2003/03/05	日本人の世界地図		同時代ライブラリー　２９７	長田　弘／高畠　通敏／鶴見　俊輔	914.6	ｵﾋ		岩波書店	1997	394	16	2003
978-4-312000-13-2	0000030920	2003/11/06	日本名歌集成			秋山　虔．他	911.1	ｱｹ		學燈社	1997	607	27	2003
978-4-312000-19-4	0000030921	2003/11/06	日本名詩集成　／近代詩から現代詩まで			大岡　信．他	911.5	ｵﾏ		學燈社	1996	611	27	2003
9784-003368411	0000030922	2003/07/15	ハリネズミと狐　／『戦争と平和』の歴史哲学		岩波文庫	バーリン／河合　秀和．訳	983	ﾊﾞ		岩波書店	1997	159	15	2003
978-4-003332-32-0	0000030923	2003/03/04	東洋的な見方　【新編】		岩波文庫	鈴木　大拙．著／上田　閑照．編	914.6	ｽﾀﾞ		岩波書店	1997	349	15	2003
978-4-003224-75-5	0000030924	2003/04/09	ギッシング短篇集		岩波文庫	小池　滋．編訳	933	ｷﾞ		岩波書店	1997	288	15	2003
978-4-003232-01-9	0000030931	2003/04/21	大地　〈一〉		岩波文庫	パール・バック／小野寺　健．訳	933	ﾊﾞ	1	岩波書店	1997	466	15	2003
978-4-003232-03-3	0000030933	2003/04/21	大地　〈三〉		岩波文庫	パール・バック／小野寺　健．訳	933	ﾊﾞ	3	岩波書店	1997	396	15	2003
978-4-003232-04-0	0000030934	2003/04/21	大地　〈四〉		岩波文庫	パール・バック／小野寺　健．訳	933	ﾊﾞ	4	岩波書店	1997	410	15	2003
978-4-003230-97-8	0000030935	2003/04/06	ホイットマン詩集【対訳】　／アメリカ詩人選（２）		岩波文庫	木島　始．編	931	ﾎ	2	岩波書店	1997	189	15	2003
	0000030936	2003/05/29	東南アジア　１　／フィリピン・太平洋諸国		写真記録	早瀬　晋三／鈴木　亮	223.08	ﾎ	1	ほるぷ出版	1997	233	31	2003
	0000030937	2003/05/29	東南アジア　２　／インドネシア		写真記録	倉沢　愛子	223.08	ﾎ	2	ほるぷ出版	1997	218	31	2003
	0000030938	2003/05/29	東南アジア　３　／マレーシア・シンガポール		写真記録	高嶋　伸欣	223.08	ﾎ	3	ほるぷ出版	1997	199	31	2003
	0000030939	2003/05/29	東南アジア　４　／ビルマ・タイ		写真記録	根本　敬／村嶋　英治	223.08	ﾎ	4	ほるぷ出版	1997	211	31	2003
	0000030940	2003/05/29	東南アジア　５　／ベトナム・ラオス・カンボジア		写真記録	古田　元夫	223.08	ﾎ	5	ほるぷ出版	1997	206	31	2003
	0000030941	2003/05/29	東南アジア　６　／東南アジアはいま		写真記録	早瀬　晋三．他	223.08	ﾎ	6	ほるぷ出版	1997	209	31	2003
978-4-000029-07-0	0000030947	2003/04/12	厚生省ＡＩＤＳファイル			保坂　渉	916	ﾎﾜ		岩波書店	1997	311	20	2003
978-4-492210-92-5	0000030948	2003/07/11	教科書では教えない日本政治　／栗本慎一郎の政治人類学			栗本　慎一郎	312.1	ｸｼ		東洋経済新報社	1997	193	20	2003
978-4-895831-77-2	0000030950	2003/09/30	免疫の反逆　／進化した生体防御の危機			ウィリアム・Ｒ・クラーク／反町　洋之／反町　典子．訳	491.8	ｸ		三田出版会	1997	373	20	2003
978-4-103872-04-7	0000030951	2003/02/08	義、我を美しく			池宮　彰一郎	914.6	ｲｼ		新潮社	1997	181	20	2003
978-4-002603-00-1	0000030966	2003/12/11	英語の発想　／明快な英文を書く		同時代ライブラリー３００	上田　明子	836	ｳｱ		岩波書店	1997	218	16	2003
