ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
978-4-398135-01-8	0000036365	2003/01/21	札幌・道東・道北／上撰の旅１／		上撰の旅　１	昭文社	291.09	ｼ	1	昭文社	2002	383	21	2003
978-4-398135-02-5	0000036366	2003/01/21	札幌・小樽・函館・道南／上撰の旅２／		上撰の旅　２	昭文社	291.09	ｼ	2	昭文社	2002	375	21	2003
978-4-062574-00-6	0000036369	2003/01/23	これならわかるＪａｖａ　／作りながら覚えるプログラミング		ＢＬＵＥ　ＢＡＣＫＳ　Ｂ−１４００	小林　健一郎	007.64	ｺ		講談社	2003	433	18	2003
978-4-062573-98-6	0000036370	2003/01/23	パソコンを遊ぶ　簡単プログラミング　／コンピュータを自由に操る「十進ＢＡＳＩＣ」入門		ＢＬＵＥ　ＢＡＣＫＳ　Ｂ−１３９８	木村　良夫	007.64	ｷ		講談社	2003	222	18	2003
978-4-062573-99-3	0000036371	2003/01/23	航空管制の科学　／飛行ラッシュの空をどうコントロールするか		ＢＬＵＥ　ＢＡＣＫＳ　Ｂ−１３９９	園山　耕司	538.86	ｿ		講談社	2003	265	18	2003
978-4-005004-23-2	0000036372	2003/01/23	図書館へ行こう		岩波ジュニア新書	田中　共子	015	ﾀ		岩波書店	2003	202	18	2003
978-4-005004-21-8	0000036373	2003/01/23	漢字のはなし		岩波ジュニア新書	阿辻　哲次	811.2	ｱ		岩波書店	2003	181	18	2003
978-4-004308-21-8	0000036374	2003/01/23	イギリス式生活術		岩波新書	黒岩　徹	302.33	ｸ		岩波書店	2003	211	18	2003
978-4-004308-20-1	0000036375	2003/01/23	介護保険　／地域格差を考える		岩波新書	中井　清美	369.13	ﾅ		岩波書店	2003	189	18	2003
978-4-004308-23-2	0000036376	2003/01/23	能楽への招待		岩波新書	梅若　猶彦	773	ｳ		岩波書店	2003	190	18	2003
978-4-004308-22-5	0000036377	2003/01/23	漢字と中国人　／文化史をよみとく／		岩波新書	大島　正二	821.2	ｵ		岩波書店	2003	248	18	2003
978-4-901784-11-5	0000036379	2003/01/25	オマエラ、軍隊シッテルカ！？　／疾風怒濤の入隊編			イ・ソンチャン．著／ぺ・ヨンホン訳	393.25	ｲ		バジリコ株式会社	2002	383	19	2003
978-4-393332-12-2	0000036380	2003/01/25	ぼくが父であるために			松本　康治	914.6	ﾏ		春秋社	2001	197	20	2003
978-4-620316-01-7	0000036381	2003/01/25	日本語通り			立川　談四楼	914.6	ﾀ		毎日新聞社	2002	219	19	2003
978-4-422930-34-3	0000036382	2003/01/25	「森のイスキア」で話したこと			佐藤　初女／宮迫　千鶴	916	ｻ		創元社	2002	306	20	2003
978-4-422930-29-9	0000036383	2003/01/25	地球のささやき			龍村　仁	916	ﾀ		創元社	2001	266	20	2003
978-4-750316-37-6	0000036384	2003/01/25	高校生のジェンダーとセクシュアリティ　／自己決定による新しい共生社会のために／			須藤　廣．編	367.9	ｽ		明石書店	2002	212	19	2003
978-4-761260-40-8	0000036385	2003/01/25	古事の森　／樹齢四百年の巨木を育てる			立松　和平／横松　桃子．画	521.818	ﾀ		かんき出版	2002	118	19	2003
978-4-805844-40-3	0000036386	2003/01/25	よくわかる地球温暖化問題【改訂版】			気候ネットワーク．編	451.85	ｷ		中央法規	2002	242	21	2003
978-4-072352-98-4	0000036387	2003/01/25	誰にでも書ける　５枚童話の創り方			藤田　富美恵	908.38	ﾌ		主婦の友社	2002	167	21	2003
978-4-052016-29-5	0000036388	2003/01/25	コーンウォールの聖杯			スーザン・クーパー．作／武内　孝夫．訳	933	ｸ		学習研究社	2002	449	22	2003
978-4-840106-47-4	0000036389	2003/01/25	おいしいコーヒーをいれるために			中川　ちえ	596.7	ﾅ		メディアファクトリー	2002	64	22	2003
978-4-797211-11-5	0000036390	2003/01/25	生産的な暮らしをつくろう　／レッツ　プロダクティブ・ハビテーション／			ヒューマンルネッサンス研究所．編	519.8	ﾋ		ビオシティ	2002	157	21	2003
978-4-831509-58-1	0000036391	2003/01/25	俳優になるには		なるにはＢＯＯＫＳ　１５	山本　健翔	366	ﾍﾟ	15	ぺりかん社	2002	169	19	2003
978-4-831509-15-4	0000036392	2003/01/25	ゲームクリエータになるには		なるにはＢＯＯＫＳ１０１	西村　翠	366	ﾍﾟ	101	ぺりかん社	2002	147	19	2003
978-4-831509-74-1	0000036393	2003/01/25	工芸家になるには		なるにはＢＯＯＫＳ　２２	河合　眞木	366	ﾍﾟ	22	ぺりかん社	2001	183	19	2003
978-4-831509-59-8	0000036395	2003/01/25	自動車整備士になるには		なるにはＢＯＯＫＳ　２５	広田　民郎	366	ﾍﾟ	25	ぺりかん社	2002	158	19	2003
978-4-831506-54-2	0000036396	2003/01/25	サイエンティストになるには		なるにはＢＯＯＫＳ　７７	生田　哲	366	ﾍﾟ	77	ぺりかん社	2002	150	19	2003
978-4-831507-01-3	0000036397	2003/01/25	翻訳家になるには		なるにはＢＯＯＫＳ　８０	小鷹　信光．監修／中島　さなえ．著	366	ﾍﾟ	80	ぺりかん社	1999	142	19	2003
978-4-831507-43-3	0000036398	2003/01/25	落語家になるには		なるにはＢＯＯＫＳ　８５	生田　誠	366	ﾍﾟ	85	ぺりかん社	2009	149	19	2003
978-4-831507-70-9	0000036402	2003/01/25	ホテルマンになるには		なるにはＢＯＯＫＳ　８７	大阪あべの辻ホテル観光スクール．編	366	ﾍﾟ	87	ぺりかん社	2000	158	19	2003
978-4-831509-17-8	0000036406	2003/01/25	ウェブクリエータになるには		なるにはＢＯＯＫＳ１０３	西村　翠	366	ﾍﾟ	103	ぺりかん社	2001	133	19	2003
978-4-831509-30-7	0000036407	2003/01/25	花屋さんになるには		なるにはＢＯＯＫＳ１０４	須長　千夏	366	ﾍﾟ	104	ぺりかん社	2001	170	19	2003
978-4-831509-44-4	0000036410	2003/01/25	司法書士になるには		なるにはＢＯＯＫＳ１０７	前田　稔／浅野　恵子	366	ﾍﾟ	107	ぺりかん社	2002	149	19	2003
