978-4-566023-70-3	0090003755	2003/06/08	王の帰還　〈下〉　／【新版】指輪物語９		評論社文庫	Ｊ・Ｒ・Ｒ・トールキン／瀬田　貞二／田中　朋子．訳	933	ﾄ	9	評論社	2002	349	15	2003
978-4-062736-83-1	0090003756	2003/06/08	ＧＯ		講談社文庫	金城　一紀	913.6	ｶｶ		講談社	2003	252	15	2003
978-4-061965-14-0	0090003757	2003/06/08	宮本武蔵　〈一〉		吉川英治歴史時代文庫１４	吉川　英治	913.6	ﾖｴ	1	講談社	2002	409	15	2003
978-4-061965-15-7	0090003758	2003/06/08	宮本武蔵　〈二〉		吉川英治歴史時代文庫１５	吉川　英治	913.6	ﾖｴ	2	講談社	2002	409	15	2003
978-4-061965-16-4	0090003759	2003/06/08	宮本武蔵　〈三〉		吉川英治歴史時代文庫１６	吉川　英治	913.6	ﾖｴ	3	講談社	2002	409	15	2003
978-4-061965-17-1	0090003760	2003/06/08	宮本武蔵　〈四〉		吉川英治歴史時代文庫１７	吉川　英治	913.6	ﾖｴ	4	講談社	2002	397	15	2003
978-4-061965-18-8	0090003761	2003/06/08	宮本武蔵　〈五〉		吉川英治歴史時代文庫１８	吉川　英治	913.6	ﾖｴ	5	講談社	2002	404	15	2003
978-4-061965-19-5	0090003762	2003/06/08	宮本武蔵　〈六〉		吉川英治歴史時代文庫１９	吉川　英治	913.6	ﾖｴ	6	講談社	2002	390	15	2003
978-4-061965-20-1	0090003763	2003/06/08	宮本武蔵　〈七〉		吉川英治歴史時代文庫２０	吉川　英治	913.6	ﾖｴ	7	講談社	2002	427	15	2003
978-4-061965-21-8	0090003764	2003/06/08	宮本武蔵　〈八〉		吉川英治歴史時代文庫２１	吉川　英治	913.6	ﾖｴ	8	講談社	2002	379	15	2003
	0090003766	2003/06/10	皇室文化と平成　／天皇陛下御即位十年記念		写真集	時事画報社	288.4	ｼﾞ		時事画報社	1999	81	30	2003
978-4-877286-37-8	0090003767	2003/06/10	極道放浪記　１／殺られてたまるか！		幻冬舎アウトロー文庫	浅田　次郎	914.6	ｱｼﾞ	1	幻冬舎	1999	213	15	2003
978-4-877286-66-8	0090003768	2003/06/10	極道放浪記　２／相棒への鎮魂歌		幻冬舎アウトロー文庫	浅田　次郎	914.6	ｱｼﾞ	2	幻冬舎	1999	220	15	2003
978-4-087473-29-2	0090003769	2003/06/10	プリズンホテル　１／夏		集英社文庫	浅田　次郎	913.6	ｱｼﾞ	1	集英社	2003	315	15	2003
978-4-087473-39-1	0090003770	2003/06/10	プリズンホテル　２／秋		集英社文庫	浅田　次郎	913.6	ｱｼﾞ	2	集英社	2001	435	15	2003
978-4-087473-58-2	0090003771	2003/06/10	プリズンホテル　３／冬		集英社文庫	浅田　次郎	913.6	ｱｼﾞ	3	集英社	2003	310	15	2003
978-4-087473-78-0	0090003772	2003/06/10	プリズンホテル　４／春		集英社文庫	浅田　次郎	913.6	ｱｼﾞ	4	集英社	2003	403	15	2003
978-4-480036-71-1	0090003773	2003/06/10	老人力		ちくま文庫	赤瀬川　原平	914.6	ｱｹﾞ		筑摩書房	2001	395	15	2003
978-4-480032-63-8	0090003774	2003/06/10	こいつらが日本語をダメにした		ちくま文庫	赤瀬川　原平／ねじめ　正一／南　伸坊	810	ｱｹﾞ		筑摩書房	2002	329	15	2003
978-4-480028-18-1	0090003775	2003/06/10	路上観察學入門		ちくま文庫	赤瀬川　原平／藤森　照信／南　伸坊．編	914.6	ｱｹﾞ		筑摩書房	2001	380	15	2003
978-4-122038-12-7	0090003776	2003/06/11	猫の宇宙　／向島からブータンまで		中公文庫	赤瀬川　原平．文・写真	914.6	ｱｹﾞ		中央公論社	2001	127	15	2003
978-4-122033-99-3	0090003777	2003/06/11	「日本文化論」の変容　／戦後日本の文化とアイデンティティー		中公文庫	青木　保	389	ｱﾀ		中央公論社	1999	212	15	2003
978-4-122037-70-0	0090003778	2003/06/11	我輩は施主である		中公文庫	赤瀬川　原平	913.6	ｱｹﾞ		中央公論社	2001	359	15	2003
978-4-086001-45-8	0090003779	2003/06/26	東京Ｓ黄尾探偵団　／嵐の歌を聴け		集英社コバルト文庫	響野　夏菜	913.6	ﾋｶ	18	集英社	2002	245	15	2003
978-4-086002-29-5	0090003780	2003/06/26	東京Ｓ黄尾探偵団　／その女、凶暴につき		集英社コバルト文庫	響野　夏菜	913.6	ﾋｶ	19	集英社	2003	274	15	2003
978-4-086002-60-8	0090003781	2003/06/26	東京Ｓ黄尾探偵団　／八月の雨		集英社コバルト文庫	響野　夏菜	913.6	ﾋｶ	20	集英社	2003	288	15	2003
978-4-341120-05-4	0090003783	2003/06/26	わが友　本田宗一郎			井深　大	289.1	ｲﾏ		ごま書房	1992	216	19	2003
	0090003784	2003/06/26	リトル・トリー			フォレスト・カーター／和田　穹男．訳	289.3	ｶ		めるくまーる	1992	354	20	2003
978-4-772701-55-6	0090003785	2003/06/26	列女伝　／歴史を変えた女たち			山崎　純一	282.2	ﾔｼﾞ		五月書房	1991	352	20	2003
978-4-130033-04-6	0090003786	2003/06/26	ワイマール共和国　〈下〉			有澤　廣巳	234.07	ｱﾋ	下	東京大学出版会	1994	952	20	2003
978-4-840208-04-8	0090003788	2003/07/01	ブギーポップは笑わない		電撃文庫	上遠野　浩平	913.6	ｶｺ	1	メディアワークス	2003	283	15	2003
978-4-840209-43-4	0090003789	2003/07/01	ＶＳイマジネーター　〈１〉　／ブギーポップ・リターンズ		電撃文庫	上遠野　浩平	913.6	ｶｺ	2	メディアワークス	2003	248	15	2003
978-4-840209-44-1	0090003790	2003/07/01	ＶＳイマジネーター　〈２〉　／ブギーポップ・リターンズ		電撃文庫	上遠野　浩平	913.6	ｶｺ	3	メディアワークス	2002	275	15	2003
978-4-840210-35-5	0090003791	2003/07/01	パンドラ／ブギーポップ・イン・ザ・ミラー		電撃文庫	上遠野　浩平	913.6	ｶｺ	4	メディアワークス	2003	301	15	2003
978-4-840210-88-1	0090003792	2003/07/01	歪曲王　／ブギーポップ・オーバードライブ		電撃文庫	上遠野　浩平	913.6	ｶｺ	5	メディアワークス	2003	321	15	2003
978-4-840211-97-0	0090003793	2003/07/01	夜明けのブギーポップ		電撃文庫	上遠野　浩平	913.6	ｶｺ	6	メディアワークス	2003	283	15	2003
978-4-840212-50-2	0090003794	2003/07/01	ペパーミントの魔術師　／ブギーポップ・ミッシング		電撃文庫	上遠野　浩平	913.6	ｶｺ	7	メディアワークス	2003	329	15	2003
978-4-840213-58-5	0090003795	2003/07/01	エンブリオ浸蝕　／ブギーポップ・カウントダウン		電撃文庫	上遠野　浩平	913.6	ｶｺ	8	メディアワークス	2003	241	15	2003
978-4-840214-14-8	0090003796	2003/07/01	エンブリオ炎生　／ブギーポップ・ウィキッド		電撃文庫	上遠野　浩平	913.6	ｶｺ	9	メディアワークス	2002	259	15	2003
978-4-840220-56-9	0090003798	2003/07/01	ビートのディシプリン		電撃文庫	上遠野　浩平	913.6	ｶｺ	13	メディアワークス	2003	349	15	2003
978-4-566023-62-8	0090003800	2003/07/01	旅の仲間　〈上１〉　／【新版】指輪物語１		評論文庫	Ｊ・Ｒ・Ｒ・トールキン／瀬田　貞二／田中　明子．訳	933	ﾄ	1	評論社	2003	252	15	2003
978-4-566023-63-5	0090003801	2003/07/01	旅の仲間　〈上２〉　／【新版】指輪物語２		評論文庫	Ｊ・Ｒ・Ｒ・トールキン／瀬田　貞二／田中　明子．訳	933	ﾄ	2	評論社	2003	268	15	2003
978-4-566023-64-2	0090003802	2003/07/01	旅の仲間　〈下１〉　／【新版】指輪物語３		評論文庫	Ｊ・Ｒ・Ｒ・トールキン／瀬田　貞二／田中　明子．訳	933	ﾄ	3	評論社	2003	246	15	2003
978-4-566023-65-9	0090003803	2003/07/01	旅の仲間　〈下２〉　／【新版】指輪物語４		評論文庫	Ｊ・Ｒ・Ｒ・トールキン／瀬田　貞二／田中　明子．訳	933	ﾄ	4	評論社	2002	213	15	2003
978-4-840223-78-2	0090003804	2003/07/01	悪魔のミカタ　９　／Ｉｔ／ドッグディズの終わりかた		電撃文庫	うえお　久光	913.6	ｳﾋ	9	メディアワークス	2003	235	15	2003
978-4-062738-08-8	0090003805	2003/07/01	濃い人々　／いとしの作中人物たち		講談社文庫	群　ようこ	914.6	ﾑﾖ		講談社	2003	218	15	2003
978-4-344403-36-9	0090003806	2003/07/01	愛の病		幻冬舎文庫	狗飼　恭子	913.6	ｲｷ		幻冬舎	2003	176	15	2003
978-4-167348-02-1	0090003807	2003/07/01	青が散る		文春文庫	宮本　輝	913.6	ﾐﾃ		文藝春秋	2001	478	15	2003
978-4-840223-76-8	0090003808	2003/07/01	Ｍｉｓｓｉｎｇ　８／生贄の物語		電撃文庫	甲田　学人	913.6	ｺｶﾞ	8	メディアワークス	2003	295	15	2003
978-4-533018-62-6	0090003810	2003/07/01	ひとり歩きの　韓国語自由自在			ＪＴＢ	290.9	ｼﾞ		日本交通公社	1995	287	17	2003
	0090003811	2003/07/01	ネーチャーガイド・日本		知恵蔵１９９７附録	朝日新聞社	291.03	ｱ		朝日新聞社	1996	351	19	2003
	0090003816	2003/07/01	船旅ガイド’９６		雑誌	成美堂出版	290.9	ﾅ		成美堂出版	1996	143	29	2003
	0090003819	2003/07/01	ジョイフル　５／１９９５　／木と生きる		雑誌	近畿日本ツーリスト	290.9	ｷ		近畿日本ツーリスト	1995	176	28	2003
978-4-102193-15-0	0090003829	2003/07/07	グリーン・マイル　〈１〉　／ふたりの少女の死		新潮文庫	スティーブン・キング／白石　朗．訳	933	ｷ	1	新潮社	2001	155	15	2003
978-4-102193-16-7	0090003830	2003/07/07	グリーン・マイル　〈２〉　／死刑囚と鼠		新潮文庫	スティーブン・キング／白石　朗．訳	933	ｷ	2	新潮社	2000	158	15	2003
978-4-102193-17-4	0090003831	2003/07/07	グリーン・マイル　〈３〉　／コーフィの手		新潮文庫	スティーブン・キング／白石　朗．訳	933	ｷ	3	新潮社	2000	158	15	2003
978-4-102193-18-1	0090003832	2003/07/07	グリーン・マイル　〈４〉　／ドラクロアの悲惨な死		新潮文庫	スティーブン・キング／白石　朗．訳	933	ｷ	4	新潮社	2000	157	15	2003
978-4-102193-19-8	0090003833	2003/07/07	グリーン・マイル　〈５〉　／夜の果てへの旅		新潮文庫	スティーブン・キング／白石　朗．訳	933	ｷ	5	新潮社	2000	169	15	2003
978-4-102193-20-4	0090003834	2003/07/07	グリーン・マイル　〈６〉　／闇の彼方へ		新潮文庫	スティーブン・キング／白石　朗．訳	933	ｷ	6	新潮社	1999	221	15	2003
978-4-000092-99-9	0090003835	2003/07/07	消費者のための　食品表示の読み方　／毎日何を食べているのか		岩波ブックレット　５９９	安田　節子	498.5	ﾔｾ	599	岩波書店	2003	69	21	2003
978-4-000092-98-2	0090003836	2003/07/07	不法投棄はこうしてなくす　／実践対策マニュアル		岩波ブックレット　５９８	石渡　正佳	518.52	ｲﾏ	598	岩波書店	2003	70	21	2003
978-4-000092-97-5	0090003837	2003/07/07	地雷と人間　／一人ひとりにできること		岩波ブックレット　５９７	地雷廃絶日本キャンペーン．編	319.8	ｼﾞ	597	岩波書店	2003	71	21	2003
978-4-000093-00-2	0090003838	2003/07/07	子どもたちのイラク　【カラー版】		岩波ブックレット　６００	日本国際ボランティアセンター	319.8	ﾆ	600	岩波書店	2003	63	21	2003
978-4-000093-01-9	0090003839	2003/07/07	反ブッシュイズム２　／終わらない戦争		岩波ブックレット　６０１	アンドリュー・デウィット／金子　勝	313	ﾃﾞ	601	岩波書店	2003	135	21	2003
	0090003840	2003/07/07	サウディアラビア王国			日本サウディアラビア協会．編	292.861	ﾆ		日本サウディアラビア協会	1999	245	2124	2003
	0090003841	2003/07/07	Ｗｅｌｔｇｅｓｃｈｉｃｈｔｅ　ｉｍ　Ｂｉｌｄ　７			イタリア	293	ｲ		イタリア		144	30	2003
	0090003842	2003/07/07	ＱＢ　／クオリティ・ブリテン　２０００／英国の教育事情			駐日英国大使館広報部	293.309	ﾁ		駐日英国大使館広報部	2000	144	30	2003
	0090003843	2003/07/07	Ｇｅｏｇｒａｐｈｉｅ　ｄｅｒ　Ｓｃｈｗｅｉｚ		写真集	スイス	293	ﾊﾞ		スイス	1983	247	31	2003
	0090003844	2003/07/07	Ｇｅｏｇｒａｐｈｉｅ　Ｅｕｒｏｐａｓ（ヨーロッパ）			ヨーロッパ	293	ﾊﾞ			1991	319	31	2003
	0090003845	2003/07/13	「絶対」の探究		岩波文庫	バルザック／水野　亮．訳	953.56	ﾊﾞ		岩波書店	1986	367	15	2003
	0090003846	2003/07/13	地獄		岩波文庫	ハンリ・バルビュス／田辺　貞之助．訳	953.56	ﾊﾞ		岩波書店	1987	353	15	2003
978-4-167656-44-7	0090003847	2003/07/13	スラムダンクな友情論		文春文庫	斎藤　孝	159	ｻﾀ		文藝春秋	2002	246	15	2003
978-4-101235-05-9	0090003848	2003/07/13	深夜特急　１／香港・マカオ		新潮文庫	沢木　耕太郎	915.6	ｻｺ	1	新潮社	1994	238	15	2003
978-4-101235-06-6	0090003849	2003/07/13	深夜特急　２／マレー半島・シンガポール		新潮文庫	沢木　耕太郎	915.6	ｻｺ	2	新潮社	2001	223	15	2003
978-4-101235-07-3	0090003850	2003/07/13	深夜特急　３／インド・ネパール		新潮文庫	沢木　耕太郎	915.6	ｻｺ	3	新潮社	2000	226	15	2003
978-4-101235-08-0	0090003851	2003/07/13	深夜特急　４／シルクロード		新潮文庫	沢木　耕太郎	915.6	ｻｺ	4	新潮社	1999	204	15	2003
978-4-101235-09-7	0090003852	2003/07/13	深夜特急　５／トルコ・ギリシャ・地中海		新潮文庫	沢木　耕太郎	915.6	ｻｺ	5	新潮社	2000	247	15	2003
978-4-101235-10-3	0090003853	2003/07/13	深夜特急　６／南ヨーロッパ・ロンドン		新潮文庫	沢木　耕太郎	915.6	ｻｺ	6	新潮社	2001	243	15	2003
978-4-107105-86-8	0090003854	2003/07/13	菜の花の沖　〈一〉		文春文庫	司馬　遼太郎	913.6	ｼﾘ	1	文藝春秋	2001	403	15	2003
978-4-107105-87-5	0090003855	2003/07/13	菜の花の沖　〈二〉		文春文庫	司馬　遼太郎	913.6	ｼﾘ	2	文藝春秋	2001	430	15	2003
978-4-107105-88-2	0090003856	2003/07/13	菜の花の沖　〈三〉		文春文庫	司馬　遼太郎	913.6	ｼﾘ	3	文藝春秋	2001	426	15	2003
978-4-107105-89-9	0090003857	2003/07/13	菜の花の沖　〈四〉		文春文庫	司馬　遼太郎	913.6	ｼﾘ	4	文藝春秋	2000	400	15	2003
978-4-107105-90-5	0090003858	2003/07/13	菜の花の沖　〈五〉		文春文庫	司馬　遼太郎	913.6	ｼﾘ	5		2000	421	15	2003
978-4-107105-91-2	0090003859	2003/07/13	菜の花の沖　〈六〉		文春文庫	司馬　遼太郎	913.6	ｼﾘ	6		2000	435	15	2003
978-4-163557-20-5	0090003860	2003/07/13	勝つ日本			石原　慎太郎／田原　総一郎	312.14	ｲｼ		文藝春秋	2001	246	20	2003
978-4-890500-11-6	0090003861	2003/07/13	お父さん戦争のとき何していたの　／ナチスの子どもたち			ペーター・ジィフロフスキー／マサコ・シェーンエック．訳	309.84	ｼﾞ		二期出版	1988	281	19	2003
978-4-480814-19-7	0090003862	2003/07/13	フランスの不思議な町			巌谷　國士	293.5	ｲﾀ		筑摩書房	1998	235	21	2003
	0090003863	2003/07/13	コールユーブンゲン　〈一〉全訳		楽譜	大阪開成館		ｵ		大阪開成館	1986	90	26	2003
	0090003864	2003/07/13	ミリオーネ全世界事典　１／ヨーロッパ㈵		百科事典	学習研究社．編	290.3	ｶﾞ	1	学習研究社	1981	491	31	2003
	0090003865	2003/07/13	日本の古典　４／枕草子／蜻蛉日記		日本の古典　４	世界文化社	914.3	ｽﾂ	4	世界文化社	1975	167	28	2003
978-4-620604-15-2	0090003866	2003/07/13	街道紀行　５／山陰・山陽路			毎日新聞社	291.09	ﾏ	5	毎日新聞社	1991	155	37	2003
978-4-620604-16-9	0090003867	2003/07/13	街道紀行　６／四国・九州路			毎日新聞社	291.09	ﾏ	6	毎日新聞社	1991	155	37	2003
978-4-840224-13-0	0090003869	2003/08/15	シャープ・エッジ　２		電撃文庫	坂入　慎一／凪良．イラスト	913.6	ｻｼ	2	メディアワークス	2003	261	15	2003
978-4-840224-08-6	0090003870	2003/08/15	ダーク・バイオレッツ　４／死者の果実		電撃文庫	三上　延／ＧＡＳＨＩＮ．イラスト	913.6	ﾐｴ	4	メディアワークス	2003	303	15	2003
978-4-829113-04-2	0090003872	2003/08/15	エンジェル・ハウリング　１／獅子序章		富士見ファンタジア文庫	秋田　禎信／椎名　優．イラスト	913.6	ｱﾖ	1	富士見書房	2001	237	15	2003
978-4-829113-40-0	0090003873	2003/08/15	エンジェル・ハウリング　２／戦慄の門		富士見ファンタジア文庫	秋田　禎信／椎名　優．イラスト	913.6	ｱﾖ	2	富士見書房	2002	285	15	2003
978-4-829113-83-7	0090003874	2003/08/15	エンジェル・ハウリング　３／獣の時間		富士見ファンタジア文庫	秋田　禎信／椎名　優．イラスト	913.6	ｱﾖ	3	富士見書房	2001	237	15	2003
978-4-829113-95-0	0090003875	2003/08/15	エンジェル・ハウリング　４／呪う約束		富士見ファンタジア文庫	秋田　禎信／椎名　優．イラスト	913.6	ｱﾖ	4	富士見書房	2002	285	15	2003
978-4-829114-45-2	0090003876	2003/08/15	エンジェル・ハウリング　５／獲物の旅		富士見ファンタジア文庫	秋田　禎信／椎名　優．イラスト	913.6	ｱﾖ	5	富士見書房	2002	333	15	2003
978-4-829114-64-3	0090003877	2003/08/15	エンジェル・ハウリング　６／最強証明		富士見ファンタジア文庫	秋田　禎信／椎名　優．イラスト	913.6	ｱﾖ	6	富士見書房	2002	253	15	2003
978-4-829126-04-2	0090003878	2003/08/15	がんばれ死霊術士　／スレイヤーズすぺしゃる　７		富士見ファンタジア文庫	神坂　一	913.6	ｶﾊ	す7	富士見書房	1996	238	15	2003
978-4-022612-95-3	0090003879	2003/08/15	秋山仁の放課後無宿		朝日文庫	秋山　仁	410	ｱｼﾞ		朝日新聞社	2000	230	15	2003
978-4-022611-35-2	0090003880	2003/08/15	秋山仁の数学渡世		朝日文庫	秋山　仁	410	ｱｼﾞ		朝日新聞社	2000	212	15	2003
978-4-062649-82-7	0090003881	2003/08/15	なんでもない話		講談社文庫	青木　玉	914.6	ｱﾀ		講談社	2000	217	15	2003
978-4-167105-67-9	0090003882	2003/08/15	竜馬がゆく　〈一〉		文春文庫	司馬　遼太郎	913.6	ｼﾘ	1	文藝春秋	2000	446	15	2003
978-4-043448-03-6	0090003883	2003/08/15	にんげんだもの		角川文庫（日めくり文庫）	相田　みつを	914.6	ｱﾐ		角川書店	2001		15	2003
978-4-043448-04-3	0090003884	2003/08/15	ひとりしずか		角川文庫（日めくり文庫）	相田　みつを	914.6	ｱﾐ		角川書店	2001		15	2003
978-4-087831-26-9	0090003885	2003/07/17	沖縄からはじまる			太田　昌秀／池澤　夏樹	312.1	ｵﾏ		集英社	1998	319	20	2003
978-4-043448-05-0	0090003887	2003/07/17	生きていてよかった		角川文庫	相田　みつを	914.6	ｱﾐ		角川書店	1998	190	15	2003
978-4-494027-26-2	0090003888	2003/07/17	魔神の指輪　／シェーラひめのぼうけん		フォア文庫	村山　早紀．作／佐竹　美保．絵	913.6	ﾑｻ	1	童心社	2003	153	18	2003
978-4-494027-29-3	0090003889	2003/07/17	うしなわれた秘宝　／シェーラひめのぼうけん		フォア文庫	村山　早紀．作／佐竹　美保．絵	913.6	ﾑｻ	2	童心社	2003	154	18	2003
978-4-494027-32-3	0090003890	2003/07/17	ダイヤモンドの都　／シェーラひめのぼうけん		フォア文庫	村山　早紀．作／佐竹　美保．絵	913.6	ﾑｻ	3	童心社	2003	158	18	2003
978-4-494027-35-4	0090003891	2003/07/17	海賊船シンドバッド　／シェーラひめのぼうけん		フォア文庫	村山　早紀．作／佐竹　美保．絵	913.6	ﾑｻ	4	童心社	2003	158	18	2003
978-4-494027-44-6	0090003892	2003/07/17	空とぶ城　／シェーラひめのぼうけん		フォア文庫	村山　早紀．作／佐竹　美保．絵	913.6	ﾑｻ	5	童心社	2003	158	18	2003
978-4-494027-47-7	0090003893	2003/07/17	海の王冠　／シェーラひめのぼうけん		フォア文庫	村山　早紀．作／佐竹　美保．絵	913.6	ﾑｻ	6	童心社	2003	156	18	2003
978-4-494027-51-4	0090003894	2003/07/17	ガラスの子馬　／シェーラひめのぼうけん		フォア文庫	村山　早紀．作／佐竹　美保．絵	913.6	ﾑｻ	7	童心社	2003	155	18	2003
978-4-494027-57-6	0090003895	2003/07/17	闇色の竜　／シェーラひめのぼうけん		フォア文庫	村山　早紀．作／佐竹　美保．絵	913.6	ﾑｻ	8	童心社	2003	157	18	2003
978-4-494027-59-0	0090003896	2003/07/17	魔法の杖　／シェーラひめのぼうけん		フォア文庫	村山　早紀．作／佐竹　美保．絵	913.6	ﾑｻ	9	童心社	2003	157	18	2003
978-4-494027-62-0	0090003897	2003/07/17	最後の戦い　／シェーラひめのぼうけん		フォア文庫	村山　早紀．作／佐竹　美保．絵	913.6	ﾑｻ	10	童心社	2002	157	18	2003
