ISBN,登録番号,受入日,書名,書名かな,副書名,副書名かな,叢書名等,叢書名等かな,著者名,著者名かな,媒体種別,分類記号,図書記号,巻冊記号,出版社,版年,頁数,判型,本体価格,TRCMARCNO,内容紹介,件名,財源,受入先,価格,保管場所,別置記号,備考,付記事項,注記,除籍フラグ,除籍年月日,除籍番号,除籍理由,不明図書フラグ,不明日,不明理由,未点検回数,帯出禁止フラグ,バーコード印刷済フラグ,背ラベル印刷済フラグ,任意項目
,34297,2006/12/05,精霊の守り人,ｾｲﾚｲﾉﾓﾘﾋﾞﾄ,,,,,上橋　菜穂子／二木　真希子,ｳｴﾊｼﾅﾎｺ/ﾌﾀｷﾏｷｺ,,913.6,ｳﾅ,1,偕成社,1999,326,２１,1500,,,,図書費,,,図書室,,,２０００．０６．０９,,False,,,,False,,,,False,True,False,,
,34299,2006/12/05,闇の守り人,ﾔﾐﾉﾓﾘﾋﾞﾄﾔﾐ,,,,,上橋　菜穂子／二木　真希子,ｳｴﾊｼﾅﾎｺ/ﾌﾀｷﾏｷｺ,,913.6,ｳﾅ,2,偕成社,2000,358,２１,1500,,,,図書費,,,図書室,,,２０００．０６．０９,,False,,,,False,,,,False,True,False,,
,34305,2006/12/05,夢の守り人,ﾕﾒﾉﾓﾘﾋﾞﾄﾔﾐﾕﾒ,,,,,上橋　菜穂子／二木　真希子,ｳｴﾊｼﾅﾎｺ/ﾌﾀｷﾏｷｺ,,913.6,ｳﾅ,3,偕成社,2000,310,２１,1500,,,,図書費,,,図書室,,,２０００．０６．１９,,False,,,,False,,,,False,True,False,,
,35275,2006/12/05,虚空の旅人,ｺｸｳﾉﾀﾋﾞﾋﾞﾄ,,,偕成社ワンダーランド２７,ｶｲｾｲｼｬﾜﾝﾀﾞｰﾗﾝﾄﾞ27,上橋　菜穂子，作／佐竹　美保．絵,ｳｴﾊｼﾅﾎｺ ｻｸ/ｻﾀｹﾐﾎ.ｴ,,913.6,ｳﾅ,4,偕成社,2001,357,２２,1500,,,,,,,,,,２００１．０６．１９,,False,,,,False,,,,False,True,False,,
,39996,2006/04/10,円空の和歌／一六〇〇余首の全て,ｴﾝｸｳﾉﾜｶ/1600ﾖｼｭﾉｽﾍﾞﾃ,,,,,岐阜県教育文化財団歴史資料館,ｷﾞﾌｹﾝｷｮｳｲｸﾌﾞﾝｶｻﾞｲﾀﾞﾝﾚｷｼｼﾘｮｳｶﾝ,,215.3,ﾚ,,岐阜県歴史資料館,2006,604,30,,,,,,,,,,,２００６．０４．０１,,False,,,,False,,,,False,True,False,,
,40001,2006/04/10,中村哲さん講演録／平和の井戸を掘る／アフガニスタンからの報告,ﾅｶﾑﾗﾃﾂｻﾝｺｳｴﾝﾛｸ/ﾍｲﾜﾉｲﾄﾞｦﾎﾙ/ｱﾌｶﾞﾆｽﾀﾝｶﾗﾉﾎｳｺｸ,,,,,中村　哲,ﾅｶﾑﾗﾃﾂ,,302.262,ﾅﾃ,,ピースウォーク京都,2002,193,18,700,,,,,,,,,,２００６．０４．０７,,False,,,,False,,,,False,True,False,,
,40023,2006/04/25,気候変動＋２℃,ｷｺｳﾍﾝﾄﾞｳ+2ﾄﾞ,,,,,山本　良一／Ｔｈｉｎｋ　ｔｈｅ　Ｅａｒｔｈ　Ｐｒｏｊｅｃｔ　．編,ﾔﾏﾓﾄﾘｮｳｲﾁ/,,451.35,ﾔﾘ,,ダンヤモンド・グラフィック社,2006,143,20,,,,,,,,,,,２００６．０４．２１,,False,,,,False,,,,False,True,False,,
,40815,2007/02/14,日本の美をめぐる　１／視覚の魔術師・北斎,ﾆﾎﾝﾉﾋﾞｦﾒｸﾞﾙ1/ｼｶｸﾉﾏｼﾞｭﾂｼﾎｸｻｲ,,,日本の美をめぐる　１,,小学館,ｼｮｳｶﾞｯｶﾝ,,708,ｼ,1,小学館,2002,42,30,333,,,,,,,窓書架,,江戸１３,２００７．０２．０９,,False,,,,False,,,,False,True,False,,
,40816,2007/02/14,日本の美をめぐる　２／奇跡の出会い・宗達と光悦,ﾆﾎﾝﾉﾋﾞｦﾒｸﾞﾙ2/ｷｾｷﾉﾃﾞｱｲｿｳﾀﾂﾄｺｳｴﾂ,,,日本の美をめぐる　２,,小学館,ｼｮｳｶﾞｯｶﾝ,,708,ｼ,2,小学館,2002,42,30,533,,,,,,,窓書架,,江戸　２,２００７．０２．０９,,False,,,,False,,,,False,True,False,,
,40817,2007/02/14,日本の美をめぐる　４／奈良の都と大仏開眼,ﾆﾎﾝﾉﾋﾞｦﾒｸﾞﾙ4/ﾅﾗﾉﾐﾔｺﾄﾀﾞｲﾌﾞﾂｶｲｹﾞﾝ,,,日本の美をめぐる　４,,小学館,ｼｮｳｶﾞｯｶﾝ,,708,ｼ,4,小学館,2002,42,30,533,,,,,,,窓書架,,古代　３,２００７．０２．０９,,False,,,,False,,,,False,True,False,,
