,80988,2023/10/11,古瀬戸と志野織部,ｺｾﾞﾄ ﾄ ｼﾉｵﾘﾍﾞ,日本陶磁の源流をさぐる,ﾆﾎﾝ ﾄｳｼﾞ ﾉ ｹﾞﾝﾘｭｳ ｵ ｻｸﾞﾙ,,,,,,751.1,ｺ,,朝日新聞名古屋本社,1978,,26cm,,,,,寄付,,,図書室,,,,,False,,,,False,,,,True,False,True,,
,80989,2023/10/11,多治見の文化財,ﾀｼﾞﾐ ﾉ ﾌﾞﾝｶｻﾞｲ,,,,,,,,709.1,ﾀ,,,2017,68p,30cm,,,,,寄付,,,図書室,,改訂第９版,,,False,,,,False,,,,False,False,True,,
9784-000063425,52273,2023/08/31,富士山噴火に備える,ﾌｼﾞｻﾝ ﾌﾝｶ ﾆ ｿﾅｴﾙ,,,,,『科学』編集部 編,ｲﾜﾅﾐｼｮﾃﾝ ｶｶﾞｸﾍﾝｼｭｳﾌﾞ,,453.8,フ,,岩波書店,2023,159p,26cm,2900,23008458,いつ噴火しても不思議ではない富士山。過去の噴火を知り、将来の噴火をどのように想定し、備えていくのか。日本列島を形づくった大噴火をたどり、特異な富士山の地下構造に迫る。雑誌『科学』掲載論文を単行本化。,カザン ニホン　フンカサイガイ　フジサン　火山 日本　噴火災害　富士山,図書費,ＴＲＣ,2900,図書室,,,,,False,,,,False,,,,False,False,False,,
9784-001160468,52384,2023/09/01,ドアのむこうの国へのパスポート,ﾄﾞｱ ﾉ ﾑｺｳ ﾉ ｸﾆ ｴ ﾉ ﾊﾟｽﾎﾟｰﾄ,,,,,トンケ・ドラフト 作　リンデルト・クロムハウト 作　リンデ・ファース 絵　西村 由美 訳,ﾄﾞﾗﾌﾄ ﾄﾝｹ ｸﾛﾑﾊｳﾄ ﾘﾝﾃﾞﾙﾄ ﾌｧｰｽ ﾘﾝﾃﾞ ﾆｼﾑﾗ ﾕﾐ ﾄﾝｹﾄﾞﾗﾌﾄ ﾘﾝﾃﾞﾙﾄｸﾛﾑﾊｳﾄ ﾘﾝﾃﾞﾌｧｰｽ,,949.3,ド,,岩波書店,2023,206p,22cm,1800,23019210,作家の家には、特別なパスポートを持った人しか入れないドアがある。子どもたちは、パスポートやビザの申請といった課題にむきあううちに、仲間や自分をより深く知っていき…。子どもたちへのエールに満ちた物語。,,図書費,ＴＲＣ,1800,図書室,,,,,False,,,,False,,,,False,False,False,,
9784-002710761,80871,2023/05/29,世界の片隅で日本国憲法をたぐりよせる,ｾｶｲ ﾉ ｶﾀｽﾐ ﾃﾞ ﾆﾎﾝｺｸｹﾝﾎﾟｳ ｵ ﾀｸﾞﾘﾖｾﾙ,,,岩波ブックレット　Ｎｏ．１０７６,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 1076,大門 正克 著,ｵｵｶﾄﾞ ﾏｻｶﾂ,,323.14,ｵ,,岩波書店,2023,71p,21cm,630,23010566,武力の前に、平和をうたう日本国憲法は無力なのか？　ごく普通の人々のローカルなとりくみが憲法理解を更新させ、普遍へとつながる可能性をもつことを３つの歴史実践から示し、国際社会の中で日本国憲法を捉える回路をさぐる。,ケンポウ ニホン　憲法 日本,図書費,佐藤共栄,630,図書室,,,,,False,,,,False,,,,False,False,True,,
9784-002710778,80870,2023/05/29,真夏の甲子園はいらない　問題だらけの高校野球,ﾏﾅﾂ ﾉ ｺｳｼｴﾝ ﾜ ｲﾗﾅｲ,,,岩波ブックレット　Ｎｏ．１０７７,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 1077,玉木 正之 編　小林 信也 編,ﾀﾏｷ ﾏｻﾕｷ ｺﾊﾞﾔｼ ﾉﾌﾞﾔ,,783.7,ﾀ,,岩波書店,2023,79p,21cm,680,23015698,甲子園大会だけを偏重する高校野球の歪みが、球児たちからチャンスと自由を奪い、精神と肉体を追い詰めている。マスメディア・関係者の責任を追求し、高校生自身が心から楽しめる野球を実現するためのアイディアを提示する。,コウコウヤキュウ　高校野球,図書費,佐藤共栄,680,図書室,,,,,False,,,,False,,,,False,False,True,,
9784-002710785,80923,2023/06/12,学校を改革する　学びの共同体の構想と実践　新版,ｶﾞｯｺｳ ｵ ｶｲｶｸ ｽﾙ,,,岩波ブックレット　Ｎｏ．１０７８,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 1078,佐藤 学 著,ｻﾄｳ ﾏﾅﾌﾞ,,370.4,ｻ,,岩波書店,2023,71p,21cm,630,23019881,子どもの学ぶ権利を保障し、教師が専門家として成長する学校は、どのようにして実現するのか。「学びの共同体」の学校改革の哲学、教師間の連携、保護者との関係づくりなどを開陳する。世界と社会の変化等を加筆した新版。,キョウイク　教育,図書費,佐藤教栄,630,図書室,,,,,False,,,,False,,,,False,False,True,,
9784-002710792,80975,2023/08/29,史上最悪の介護保険改定？！,ｼｼﾞｮｳ ｻｲｱｸ ﾉ ｶｲｺﾞﾎｹﾝ ｶｲﾃｲ,,,岩波ブックレット　Ｎｏ．１０７９,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 1079,上野 千鶴子 編　樋口 恵子 編,ｳｴﾉ ﾁｽﾞｺ ﾋｸﾞﾁ ｹｲｺ,,364.48,ｼ,,岩波書店,2023,108 3p,21cm,780,23023478,自己負担が原則２割に？　要介護１・２を介護保険から外す？　「史上最悪」とも言える介護保険改定案を、ケアの専門家たちが徹底批判。２０００年の制度開始以来、切り崩されてきた介護保険をこれ以上後退させないための一冊。,カイゴホケン　カイゴフクシ　コウレイシャフクシ　介護保険　介護福祉　高齢者福祉,図書費,佐藤教栄,780,図書室,,,,,False,,,,False,,,,False,False,True,,
9784-003261354,80938,2023/06/21,罪と罰　上,ﾂﾐ ﾄ ﾊﾞﾂ,,,岩波文庫,ｲﾜﾅﾐﾌﾞﾝｺ,ドストエフスキー 作　江川 卓 訳,ﾄﾞｽﾄｴﾌｽｷｰ ﾌｮｰﾄﾞﾙ･ﾐﾊｲﾛｳﾞｨﾁ ｴｶﾞﾜ ﾀｸ ﾄﾞｽﾄｴﾌｽｷｰ,,983,ﾄﾞ,1,岩波書店,1999,414p,15cm,1100,99049471,,,図書費,佐藤教栄,1100,文庫書架,,,,,False,,,,False,,,,False,False,True,,
9784-003261361,80939,2023/06/21,罪と罰　中,ﾂﾐ ﾄ ﾊﾞﾂ,,,岩波文庫,ｲﾜﾅﾐﾌﾞﾝｺ,ドストエフスキー 作　江川 卓 訳,ﾄﾞｽﾄｴﾌｽｷｰ ﾌｮｰﾄﾞﾙ･ﾐﾊｲﾛｳﾞｨﾁ ｴｶﾞﾜ ﾀｸ ﾄﾞｽﾄｴﾌｽｷｰ,,983,ﾄﾞ,2,岩波書店,1999,364p,15cm,920,99054983,,,図書費,佐藤教栄,920,文庫書架,,,,,False,,,,False,,,,False,False,True,,
