ISBN,登録番号,受入日,title,書名かな,副書名,副書名かな,series,叢書名等かな,著者名,著者名かな,媒体種別,分類記号,図書記号,巻冊記号,出版社,版年,頁数,判型,本体価格,TRCMARCNO,内容紹介,件名,財源,受入先,価格,保管場所,別置記号,備考,付記事項,注記,除籍フラグ,除籍年月日,除籍番号,除籍理由,不明図書フラグ,不明日,不明理由,未点検回数,帯出禁止フラグ,バーコード印刷済フラグ,背ラベル印刷済フラグ,任意項目,
9780-194230612,81343,2024/09/13,The Dead of Jericho,,,,Oxford Booksworms Library 6,,Colin Dexter,,,837.7,OX,,Oxford University Press,2000,120,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,YL4.5/5.0　27170words,False,,,,False,,,,False,False,True,,
9780-194230711,81344,2024/09/13,King's Ransom,,,,Oxford Booksworms Library 6,,Ed McBain,,,837.7,OX,,Oxford University Press,2000,104,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,YL4.5/5.0 24330words,False,,,,False,,,,False,False,True,,
9780-194792158,81345,2024/09/13,The Accidental Tourist,,,,Oxford Bookworms Library Stage 5,,Anne Tyler,,,837.7,OX,,Oxford Unniversity Press,2004,104p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,YL4.5/5.0 24810words,False,,,,False,,,,False,False,True,,
9780-194792233,81346,2024/09/13,Far from the Madding Crowd,,,,Oxford Booksworms Library Stage 5,,Thomas Hardy,,,837.7,OX,,Oxford University Press,1992,104p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,YL4.5/5.0 24490words,False,,,,False,,,,False,False,True,,
9788-877548603,81347,2024/09/13,A tale of two cities,,,,Reading and training  intermediate,,Charles Dickens,,,837.7,RE,,Black Cat,2002,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,YL4.5　13700words,False,,,,False,,,,False,False,True,,
9788-877548603,81348,2024/09/13,A tale of two cities,,,,Reading and training  intermediate,,Charles Dickens,,,837.7,RE,,Black Cat,2002,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,YL4.5　13700words,False,,,,False,,,,False,False,True,,
9788-853001702,81349,2024/09/13,Sons and lovers,,,,Reading and training  intermediate,,D. H. Lawrence,,,837.7,RE,,Black Cat,2005,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,YL4.5/5.5 15300words,False,,,,False,,,,False,False,True,,
9788-853001702,81350,2024/09/13,Sons and lovers,,,,Reading and training  intermediate,,D. H. Lawrence,,,837.7,RE,,Black Cat,2005,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,YL4.5/5.5 15300words,False,,,,False,,,,False,False,True,,
9788-853001702,81351,2024/09/13,Sons and lovers,,,,Reading and training  intermediate,,D. H. Lawrence,,,837.7,RE,,Black Cat,2005,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,YL4.5/5.5 15300words,False,,,,False,,,,False,False,True,,
9788-853001702,81352,2024/09/13,Sons and lovers,,,,Reading and training  intermediate,,D. H. Lawrence,,,837.7,RE,,Black Cat,2005,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,YL4.5/5.5 15300words,False,,,,False,,,,False,False,True,,
9788-853003874,81353,2024/09/13,Sense and sensibility,,,,Reading and training Step 5,,Jane Austen,,,837.7,RE,,Black Cat,2006,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,YL4.5/5.5 17000words,False,,,,False,,,,False,False,True,,
9788-853003874,81354,2024/09/13,Sense and sensibility,,,,Reading and training Step 5,,Jane Austen,,,837.7,RE,,Black Cat,2006,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,YL4.5/5.5 17000words,False,,,,False,,,,False,False,True,,
9788-853003874,81355,2024/09/13,Sense and sensibility,,,,Reading and training Step 5,  ,Jane Austen,,,837.7,RE,,Black Cat,2006,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,YL4.5/5.5 17000words,False,,,,False,,,,False,False,True,,
9788-853003874,81356,2024/09/13,Sense and sensibility,,,,Reading and training Step 5,  ,Jane Austen,,,837.7,RE,,Black Cat,2006,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,YL4.5/5.5 17000words,False,,,,False,,,,False,False,True,,
