ISBN	rgtn	title	auth	series	pub	pub_year	page	size	cls1	cls2	cls3
9780-194230612	81343	The Dead of Jericho	Colin Dexter	Oxford Booksworms Library 6	Oxford University Press	2000	120	20cm	837.7	OX	
9780-194230711	81344	King's Ransom	Ed McBain	Oxford Booksworms Library 6	Oxford University Press	2000	104	20cm	837.7	OX	
9780-194792158	81345	The Accidental Tourist	Anne Tyler	Oxford Bookworms Library Stage 5	Oxford Unniversity Press	2004	104p	20cm	837.7	OX	
9780-194792233	81346	Far from the Madding Crowd	Thomas Hardy	Oxford Booksworms Library Stage 5	Oxford University Press	1992	104p	20cm	837.7	OX	
9788-877548603	81347	A tale of two cities	Charles Dickens	Reading and training  intermediate	Black Cat	2002	160p	21cm	837.7	RE	
9788-877548603	81348	A tale of two cities	Charles Dickens	Reading and training  intermediate	Black Cat	2002	160p	21cm	837.7	RE	
9788-853001702	81349	Sons and lovers	D. H. Lawrence	Reading and training  intermediate	Black Cat	2005	144p	21cm	837.7	RE	
9788-853001702	81350	Sons and lovers	D. H. Lawrence	Reading and training  intermediate	Black Cat	2005	144p	21cm	837.7	RE	
9788-853001702	81351	Sons and lovers	D. H. Lawrence	Reading and training  intermediate	Black Cat	2005	144p	21cm	837.7	RE	
9788-853001702	81352	Sons and lovers	D. H. Lawrence	Reading and training  intermediate	Black Cat	2005	144p	21cm	837.7	RE	
9788-853003874	81353	Sense and sensibility	Jane Austen	Reading and training Step 5	Black Cat	2006	128p	21cm	837.7	RE	
9788-853003874	81354	Sense and sensibility	Jane Austen	Reading and training Step 5	Black Cat	2006	128p	21cm	837.7	RE	
9788-853003874	81355	Sense and sensibility	Jane Austen	Reading and training Step 5	Black Cat	2006	128p	21cm	837.7	RE	
9788-853003874	81356	Sense and sensibility	Jane Austen	Reading and training Step 5	Black Cat	2006	128p	21cm	837.7	RE	
9788-853008411	81357	Robinson Crusoe	Daniel Defoe	Reading and training  Step 5	Black Cat	2008	143p	21cm	837.7	RE	
9788-853001252	81358	Robinson Crusoe	Daniel Defoe	Reading and training  intermediate	Black Cat	2003	144p	21cm	837.7	RE	
9788-853001252	81359	Robinson Crusoe	Daniel Defoe	Reading and training  intermediate	Black Cat	2003	144p	21cm	837.7	RE	
9788-853001252	81360	Robinson Crusoe	Daniel Defoe	Reading and training  intermediate	Black Cat	2003	144p	21cm	837.7	RE	
9788-853001252	81361	Robinson Crusoe	Daniel Defoe	Reading and training  intermediate	Black Cat	2003	144p	21cm	837.7	RE	
9788-877549341	81362	Silas Marner	George Eliot	Reading and training  upper-intermediate	Black Cat	2003	112p	21cm	837.7	RE	
9788-877549341	81363	Silas Marner	George Eliot	Reading and training  upper-intermediate	Black Cat	2003	112p	21cm	837.7	RE	
9788-853001764	81364	Gothic short stories	W. W. Jacobs ... [et al.]	Reading and training  intermediate	Black Cat	2004	128p	21cm	837.7	RE	
9788-877547798	81365	The murders in the Rue Morgue and the purloined letter	Edgar Allan Poe	Reading and training  intermediate	Black Cat	1999	112p	21cm	837.7	RE	
9788-877547798	81366	The murders in the Rue Morgue and the purloined letter	Edgar Allan Poe	Reading and training  intermediate	Black Cat	1999	112p	21cm	837.7	RE	
9788-877549341	81367	Silas Marner	George Eliot	Reading and training  upper-intermediate	Black Cat	2003	112p	21cm	837.7	RE	
9788-877547798	81368	The murders in the Rue Morgue and the purloined letter	Edgar Allan Poe	Reading and training  intermediate	Black Cat	1999	112p	21cm	837.7	RE	
9788-853007667	81369	The murders in the Rue Morgue ; and  The purloined letter	Edgar Allan Poe	Reading and training  step 5  B2.2	Black Cat	2007	111p	21cm	837.7	RE	
9788-877547996	81370	Wuthering heights	Emily Bronte	Reading and training  upper-intermediate	Black Cat	2002	128p	21cm	837.7	RE	
9788-877547996	81371	Wuthering heights	Emily Bronte	Reading and training  Step Six C1	Black Cat	2002	128p	21cm	837.7	RE	
9788-877547996	81372	Wuthering heights	Emily Bronte	Reading and training  Step Six C1	Black Cat	2002	128p	21cm	837.7	RE	
9788-853003249	81373	Wuthering heights	Emily Bronte	Reading and training  Step 5 B2.2	Black Cat	2006	143p	21cm	837.7	RE	
9788-877547996	81374	Wuthering heights	Emily Bronte	Reading and training  Step Six C1	Black Cat	2002	128p	21cm	837.7	RE	
9788-877547996	81375	Wuthering heights	Emily Bronte	Reading and training  Step Six C1	Black Cat	2002	128p	21cm	837.7	RE	
9788-853005687	81376	Wuthering heights	Emily Bronte	Reading and training  Step Six C1	Black Cat	2006	142p	21cm	837.7	RE	
9788-853005687	81377	Wuthering heights	Emily Bronte	Reading and training  Step Six C1	Black Cat	2006	142p	21cm	837.7	RE	
