ISBN	登録番号	受入日	書名	副書名	叢書名等	著者名	分類記号	図書記号	巻冊記号	出版社	版年	頁数	判型
	0000000002	2002/05/17	海軍主計大尉小泉信吉			小泉　信三	289.1	ｺｼ		文藝春秋	1967	274	20
	0000000004	2003/06/08	２０世紀を動かした人々１１／現代世界の政治家		全集　１１	江口　朴郎	280	ｴﾎﾞ	11	講談社	1963	430	19
	0000000005	2003/05/19	無宿人　／佐渡金山秘史			磯部　欣三	210.5	ｲｷ		人物往来社	1964	232	19
	0000000009	2003/05/19	血涙薩摩義士物語　／宝暦治水			池水　喜一	210.5	ｲｷ		池水喜一	1971	228	19
	0000000049	2003/12/04	新簡約英和辞典		辞典	岩崎　民平／研究社辞書部	833	ｹ		研究社	1958	2142	20
	0000000060	2002/01/01	日本十進分類法　新訂６−Ａ版			日本図書館協会分類委員会	14.4	ﾆ		日本図書館協会	1957	521	22
	0000000076	2002/09/27	図説　世界文化史大系　１６／中国　㈼		世界文化史大系	角川書店／塚本　善隆．編	209	ﾂﾖ	16	角川書店	1959	295	27
	0000000104	2003/11/22	古典読解辞典		辞典	白石　大二／新間　進一／広田　栄太郎／松村　明．共編	803	ｼﾀ		東京堂	1959	850	19
	0000000105	2003/12/01	現代　世界人名辞典		辞典	平凡社／下中　彌三郎	280.3	ｼﾔ		平凡社	1955	501	21
	0000000106	2003/09/14	動物の事典			岡田　要．監修／	480.3	ｵｶ		東京堂	1959	590	22
	0000000110	2003/09/14	植物の事典		事典	小倉　謙．監修／佐竹　義輔．他編	470.33	ｻｷ		東京堂	1959	594	22
	0000000252	2003/06/28	キュリー夫人傳			エーヴ・キュリー／川口　篤／河盛　好蔵．他訳	289.34	ｷ		白水社	1957	504	19
	0000000333	2002/07/02	幸田文全集　７		全集	幸田　文	918.68	ｺｱ	7	中央公論社	1958	322	20
	0000000344	2002/07/02	幸田文全集　２		全集	幸田　文	918.68	ｺｱ	2	中央公論社	1958	321	20
	0000000346	2002/07/02	幸田文全集　３		全集	幸田　文	918.68	ｺｱ	3	中央公論社	1958	334	20
	0000000356	2002/07/02	幸田文全集　５		全集	幸田　文	918.68	ｺｱ	5	中央公論社	1959	339	20
	0000000402	2002/07/11	谷崎潤一郎全集　２９		全集	谷崎　潤一郎	918.68	ﾀｼﾞ	29	中央公論社	1959	203	18
	0000000403	2002/07/11	谷崎潤一郎全集　２３		全集	谷崎　潤一郎	918.68	ﾀｼﾞ	23	中央公論社	1958	257	18
	0000000404	2002/07/11	谷崎潤一郎全集　８		全集	谷崎　潤一郎	918.68	ﾀｼﾞ	8	中央公論社	1959	260	18
	0000000405	2002/07/17	漱石全集　４		新書版全集	夏目　漱石	918.68	ﾅｿ	4	岩波書店	1958	375	18
	0000000563	2003/04/01	敗戦日記			高見　順	915.6	ﾀｼﾞ		文藝春秋	1959	407	20
	0000000916	2002/05/17	世界文学全集１　／セルバンテス／　『ドン・キホーテ』　		世界文学全集１	セルバンテス／会田　由．訳	963	ｶ	1	河出書房新社	1958	330	23
	0000000925	2003/11/06	日本詩歌集			山本　健吉．編	911	ﾔｹ		平凡社	1959	812	16
	0000001818	2003/03/05	人生論ノート		新潮文庫	三木　清	914.6	ﾐｷ		新潮社	1978	152	15
	0000002002	2002/10/06	世界ノンフィクション全集　１　／世界最悪の旅／さまよえる湖／コン・ティキ号探検記／国龍江紀行		全集　１	筑摩書房	908.6	ﾁ	1	筑摩書房	1960	504	19
	0000002013	2002/10/06	世界ノンフィクション全集　２　／神々のめでし人／微生物の狩人／スエズ運河／中江兆民の生涯／中江兆民奇行談／		全集　２	筑摩書房	908.6	ﾁ	2	筑摩書房	1960	529	19
978-4-828832-44-9	0000002023	2002/12/05	贋作　吾輩は猫である		福武文庫	内田　百	913.6	ｳﾋ		福武書店	1992	271	15
	0000002027	2003/06/01	物語西洋史　／毎日ライブラリー		毎日ライブラリー	秀村　欣二	230	ﾋｷ		毎日新聞社	1959	308	19
	0000002028	2003/12/02	世界人物事典　／毎日ライブラリー		毎日ライブラリー	毎日新聞社．編	280.3	ﾏ		毎日新聞社	1953	474	19
	0000002029	2002/10/08	人物世界史　／西洋		毎日ライブラリー	村川　堅太郎．編	209	ﾑｹ		毎日新聞社	1951	365	19
	0000002079	2002/10/06	世界ノンフィクション全集　３　／わがエヴェレスト／翼よ、あれがパリの灯だ／フラム号漂流記／単騎遠征／		全集　３	筑摩書房	908.6	ﾁ	3	筑摩書房	1960	523	19
	0000002080	2002/10/06	世界ノンフィクション全集　４　／カチン族の首かご／極北生活三十年／ニューギニア探検記／悲しき南回帰線／		全集　４	筑摩書房	908.6	ﾁ	4	筑摩書房	1960	530	19
	0000002105	2002/09/23	西洋史辞典		辞典	京都大学文学部西洋史研究室．編	203	ｷ		講談社	1960	936	22
	0000002109	2002/10/06	世界ノンフィクション全集　６　／チベット旅行記／リヴィングストン発見記／メッカへの道／徐霞客遊記／		全集　６	筑摩書房	908.6	ﾁ	6	筑摩書房	1960	542	19
	0000002111	2002/09/27	図説　世界文化史大系　２０／日本 ㈵		世界文化史大系	角川書店／水野　清一．編	209	ﾐ	20	角川書店	1961	293	27
	0000002127	2003/09/06	日本の気象　／毎日ライブラリー			高橋　浩一郎．編	451	ﾀｺ		毎日新聞社	1956	289	19
	0000002133	2002/10/06	世界ノンフィクション全集　７　／砂漠の反乱／セポイの乱／太平天国／ステンカ・ラージン／		全集　７	筑摩書房	908.6	ﾁ	7	筑摩書房	1960	527	19
	0000002134	2002/09/27	図説　世界文化史大系　２６／東西文化の交流		世界文化史大系	角川書店／江上　波夫．編	209	ｷ	26	角川書店	1960	294	27
	0000002146	2002/10/07	世界ノンフィクション全集　８　／ソーニャ・コヴァレフスカヤ／自伝／わが母マリー・キュリーの思い出／ブロンテ姉妹／武士の娘／		全集　８	筑摩書房	908.6	ﾁ	8	筑摩書房	1960	484	19
	0000002174	2002/10/07	世界ノンフィクション全集　９　／フランス革命／ペトログラード１９１７年／中国の赤い星／		全集　９	筑摩書房	908.6	ﾁ	9	筑摩書房	1960	530	19
	0000002175	2002/10/07	世界ノンフィクション全集１０　／トロイアの黄金／コータンの廃墟／パピルスの国・粘土の国／		全集　９	筑摩書房	908.6	ﾁ	10	筑摩書房	1960	528	19
	0000002194	2002/10/07	世界ノンフィクション全集１２　／０の暁／ラザフォード／アインシュタインと共に／錬金術師／		全集　１２	筑摩書房	908.6	ﾁ	12	筑摩書房	1961	525	19
	0000002198	2002/10/07	世界ノンフィクション全集１１　／パスツール伝／フランクリン自伝／福翁自伝／顧炎武の生涯／		全集　１１	筑摩書房	908.6	ﾁ	11	筑摩書房	1960	512	19
	0000002220	2002/10/07	世界ノンフィクション全集１４　／アメリカ彦蔵回想記／遣米使日記／航西日記／シベリア日記／		全集　１４	筑摩書房	908.6	ﾁ	14	筑摩書房	1961	512	19
	0000002237	2002/10/07	世界ノンフィクション全集１６　／いちばん長い日／ドンとヴォルガ／インパール／		全集　１６	筑摩書房	908.6	ﾁ	16	筑摩書房	1961	494	19
	0000002257	2002/09/25	図説　世界文化史大系　４／オリエント㈼		世界文化史大系	角川書店／前嶋　信次／蒲生　礼一．編	209.3	ﾏ	4	角川書店	1958	297	27
	0000002258	2002/09/25	図説　世界文化史大系　８／ルネッサンス		世界文化史大系	角川書店／摩寿意　善郎／松田　智雄．編	209.3	ﾏ	8	角川書店	1959	290	27
	0000002259	2002/09/25	図説　世界文化史大系　９／ヨーロッパ近世		世界文化史大系	角川書店／富永　惣一／柴田　三千雄．編	209.3	ﾄ	9	角川書店	1961	294	27
	0000002260	2002/09/27	図説　世界文化史大系　１１／アメリカ大陸		世界文化史大系	角川書店／石田　英一郎／清水　博．編	209.3	ｲ	11	角川書店	1960	294	27
	0000002261	2002/09/27	図説　世界文化史大系　１５／中国 ㈵		世界文化史大系	角川書店／貝塚　茂樹．編	209.3	ｶ	15	角川書店	1958	293	27
	0000002263	2002/09/27	図説　世界文化史大系　２１／日本　㈼		世界文化史大系	角川書店／西岡　虎之助	209	ﾆ	21	角川書店	1959	294	27
	0000002282	2002/10/07	世界ノンフィクション全集１７　／砂漠の王者／自叙伝／ロナドン被難記／革命の哲理／		全集　１７	筑摩書房	908.6	ﾁ	17	筑摩書房	1961	485	19
	0000002309	2003/07/03	図説・日本文化地理大系１１／中部㈽　／福井・石川・富山・新潟			小学館	291.4	ｼ	11	小学館	1961	398	27
	0000002332	2003/07/15	図説・日本文化地理大系　１／九州㈵／総説・鹿児島・沖縄・宮崎・大分			小学館	291.9	ｼ	1	小学館	1961	398	27
	0000002368	2002/09/27	図説　世界文化史大系　２３／日本　㈿		世界文化史大系	角川書店／喜多嶋　正元／野間　清六．編	209	ｷ	23	角川書店	1961	294	27
	0000002369	2002/09/27	図説　世界文化史大系　１０／ヨーロッパ近代		世界文化史大系	角川書店／村瀬　興雄／富永　惣一．編	209.3	ﾑ	10	角川書店	1959	294	27
	0000002381	2002/10/07	世界ノンフィクション全集２０　／ララミーへの道／フォーセット探検記／ピグミーとの八年間／		全集　２０	筑摩書房	908.6	ﾁ	20	筑摩書房	1961	455	19
	0000002418	2002/10/07	世界ノンフィクション全集２１　／ロシアの夜／友人への手紙／私の半生涯／		全集　２１	筑摩書房	908.6	ﾁ	21	筑摩書房	1961	465	19
	0000002427	2003/12/01	生活と統計　／市民の数学　６		講座　市民の数学　Y	黒田　孝郎／司馬　正次	350.1	ｸﾀ	6	共立出版	1961	220	22
	0000002466	2003/07/15	図説・日本文化地理大系　３／四国／総説・高知・愛媛・香川・徳島			小学館	291.8	ｼ	3	小学館	1961	398	27
	0000002524	2002/10/07	世界ノンフィクション全集２４　／バウンティ号の反乱／アルプスの北壁／非情の山Ｋ２／船長日記／		全集　２４	筑摩書房	908.6	ﾁ	24	筑摩書房	1961	473	19
	0000002525	2002/10/07	世界ノンフィクション全集１９　／太平洋航海記／コロンブスの夢／長春真人西遊記／耶律楚材西遊録／		全集　１９	筑摩書房	908.6	ﾁ	19	筑摩書房	1961	446	19
	0000002547	2003/07/16	図説・日本文化地理大系１０／中部㈼／岐阜・愛知・静岡			小学館	291.5	ｼ	10	小学館	1961	398	27
	0000002549	2002/05/23	日本人物語　１　／悪の話題／			毎日新聞社／古川　哲史．編	121	ﾌ	1	毎日新聞社	1961	326	20
