ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
978-4-872906-90-5	0000048387	2016/01/07	アメリカの高校生が学ぶ経済学	原理から実践へ		ゲーリーＥ.クレイトン	331	ゲ		ＷＡＶＥ出版	2014	349p	21cm	2016
978-4-990842-70-3	0000048388	2016/01/12	私に優しい、いいね！がみつかるカラダのミカタ 	”私のお気に入り”フォトコンテスト事務局／編集			495	ｱｻ		アサヒグラフィック	2015	78p	21cm	2016
978-4-093864-29-9	0000048389	2016/01/12	下町ロケット２　ガウディ計画			池井戸　潤	913.6	ｲｹ		小学館	2015	371p	19cm	2016
978-4-103037-72-9	0000048390	2016/01/12	校舎の静脈			日和　聡子	913.6	ﾋﾜ		新潮社	2015	189p	20cm	2016
978-4-886837-85-1	0000048391	2016/01/12	１８歳からの選挙Ｑ＆Ａ	政治に新しい風を　１８歳選挙権		全国民主主義教育研究会／編	314.8	ｾﾞﾝ		同時代社	2015	148p	21cm	2016
978-4-087713-50-3	0000048392	2016/01/12	オール・マイ・ラビング	東京バンドワゴン		小路　幸也	913.6	ｼｮ	5	集英社	2010	301p	20cm	2016
978-4-087754-00-1	0000048393	2016/01/12	オブ・ラ・ディ・オブ・ラ・ダ	東京バンドワゴン		小路　幸也	913.6	ｼｮ	6	集英社	2010	302p	20cm	2016
978-4-087754-09-4	0000048394	2016/01/12	レディ・マドンナ	東京バンドワゴン		小路　幸也	913.6	ｼｮ	7	集英社	2012	301p	20cm	2016
978-4-087715-10-1	0000048395	2016/01/12	フロム・ミー・トゥ・ユー	東京バンドワゴン		小路　幸也	913.6	ｼｮ	8	集英社	2013	307p	20cm	2016
978-4-087754-24-7	0000048396	2016/01/12	ヒア・カムズ・ザ・サン	東京バンドワゴン		小路　幸也	913.6	ｼｮ	10	集英社	2015	300p	20cm	2016
