ISBN	rgtn	ukeymd	title	auth	pub	pub_year	page	size	series	cls1	cls2	cls3	ukeymd_1
9784-794608116	52470	2024/6/5	英語で話す中東情勢	山久瀬 洋二 著	ＩＢＣパブリッシング	2024	174p	21cm		302.2	ヤマ		202406
9784-767832739	52471	2024/6/5	日本の不思議な名建築１１１	加藤 純 文　傍島 利浩 写真	エクスナレッジ	2024	175p	20cm		523.1	カト		202406
9784-761930011	52472	2024/6/5	ヤングケアラーの理解と支援	仲田 海人 編著者代表	学事出版	2024	199p	21cm		369	ヤン		202406
9784-295409601	52473	2024/6/5	説明の上手い人が「最初の１分」でしていること	笹木 郁乃 著	インプレス（発売）	2024	239p	19cm		336.4	ササ		202406
9784-344042605	52474	2024/6/5	なるほどそうだったのか！ハマスとガザ戦争	高橋 和夫 著	幻冬舎	2024	265p	18cm		302.2	タカ		202406
9784-065351918	52475	2024/6/5	宇宙と物質の起源	高エネルギー加速器研究機構素粒子原子核研究所 編	講談社	2024	318p	18cm	ブルーバックス　Ｂ－２２５６	429.6	ウチ		202406
9784-065348383	52476	2024/6/5	植物の謎	日本植物生理学会 編	講談社	2024	234p	18cm	ブルーバックス　Ｂ－２２５７	470	ショ		202406
9784-065356722	52477	2024/6/5	生命と非生命のあいだ	小林 憲正 著	講談社	2024	302p	18cm	ブルーバックス　Ｂ－２２５８	461	コバ		202406
9784-065353639	52478	2024/6/5	体験格差	今井 悠介 著	講談社	2024	198p	18cm	講談社現代新書　２７４１	369.4	イマ		202406
9784-334102906	52479	2024/6/5	バッタを倒すぜアフリカで	前野ウルド浩太郎 著	光文社	2024	605p	18cm	光文社新書　１３０５	486.4	マエ		202406
9784-484222547	52480	2024/6/5	２９歳、今日から私が家長です。	イ スラ 著　清水 知佐子 訳	ＣＣＣメディアハウス	2024	311p	19cm		929.1	イス		202406
9784-784528042	52481	2024/6/5	韓国における社会政策のあり方　２　韓国における少子化、格差、葛藤の現状	金 明中 著	社会評論社	2024	275p	21cm		364.1	キム	２	202406
9784-797681390	52482	2024/6/5	クレーンゲームで学ぶ物理学	小山 佳一 著	集英社（発売）	2024	220p	18cm	インターナショナル新書　１３９	420	コヤ		202406
9784-798226569	52483	2024/6/5	実践！はじめての作曲入門　〔２０２４〕	竹内 一弘 編著　クラフトーン 編著	自由現代社（発売）	2024	111p	21cm		767.8	ジッ	２４	202406
9784-405120273	52484	2024/6/5	税金とお金	村形 聡 監修	新星出版社	2024	175p	19cm	サクッとわかるビジネス教養	345	ゼイ		202406
9784-102404812	52485	2024/6/5	ＡＩ監獄ウイグル 	ジェフリー・ケイン 著　濱野 大道 訳	新潮社	2024	470p	16cm	新潮文庫　ケ－１８－１	316.8	ケイ		202406
9784-101051413	52486	2024/6/5	「科学的」は武器になる	早野 龍五 著	新潮社	2024	261p	16cm	新潮文庫　は－８１－１	159	ハヤ		202406
9784-415333939	52487	2024/6/5	イチからわかる古文書の読み方・楽しみ方	増田 孝 著	成美堂出版	2024	207p	22cm		210	マス		202406
9784-480684752	52488	2024/6/5	刑の重さは何で決まるのか	高橋 則夫 著	筑摩書房	2024	201p	18cm	ちくまプリマー新書　４５４	326	タカ		202406
9784-480684820	52489	2024/6/5	人生のレールを外れる衝動のみつけかた	谷川 嘉浩 著	筑摩書房	2024	252p	18cm	ちくまプリマー新書　４５３	159.7	タニ		202406
9784-867820681	52490	2024/6/5	Ｂ型女性はなぜ人気があるのか	金澤 正由樹 著	鳥影社	2024	255p	19cm		141.9	カナ		202406
9784-864477314	52491	2024/6/5	名物ルアーショップ店主がついに明かした「釣り具」のウソホント	柏瀬 巌 著	つり人社	2024	191p	19cm		787.1	カシ		202406
9784-908406959	52492	2024/6/5	離島建築	箭内 博行 著	トゥーヴァージンズ	2024	191p	21cm	味なたてもの探訪	523.1	ヤナ		202406
9784-779518010	52493	2024/6/5	中高生のための宇宙教育プログラム	向井 千秋 監修　東京理科大学宇宙教育プログラム実施委員会 編	ナカニシヤ出版	2024	3 197p	19cm		538.9	チュ		202406
9784-800592057	52494	2024/6/5	大学生のための世界の課題発見講座	高安 健一 共編著　日本経済新聞社 共編著	日本能率協会マネジメントセンター	2024	16 236p	21cm		333.8	ダイ		202406
9784-166614516	52495	2024/6/5	グローバルサウスの逆襲	池上 彰 著　佐藤 優 著	文藝春秋	2024	222p	18cm	文春新書　１４５１	319	イケ		202406
9784-582860573	52496	2024/6/5	民間軍事会社	菅原 出 著	平凡社	2024	254p	18cm	平凡社新書　１０５７	392	スガ		202406
9784-860647636	52497	2024/6/5	京大地理学者、なにを調べに辺境へ？	水野 一晴 著	ベレ出版	2024	398p	19cm		290.9	ミズ		202406
9784-846124021	52498	2024/6/5	ミツバチたちの危機を超えて	レベッカ・エリス 著　大森 正之 訳	緑風出版	2024	329p	20cm		646.9	エリ		202406
9784-845425143	52499	2024/6/5	地域や漁業と共存共栄する洋上風力発電づくり　ＰＡＲＴ２	渋谷 正信 著	ロングセラーズ	2024	285p	21cm		543.6	シブ	２	202406
9784-845118823	52500	2024/6/14	チョコレートを食べたことがないカカオ農園の子どもにきみはチョコレートをあげるか？	木下 理仁 著	旬報社	2024	231p	19cm		333.8	キノ		202406
9784-909753175	52501	2024/6/14	それはわたしが外国人だから？	安田 菜津紀 著　金井 真紀 絵・文　高橋 済 法律監修	ヘウレーカ	2024	183p	19cm		329.9	ヤス		202406
9784-794607911	81012	2024/5/20	Ａｍａｚｉｎｇ　Ｓｐａｃｅ	エド・ジェイコブ 著	ＩＢＣパブリッシング	2023	11 171p	18cm	ラダーシリーズ	837.7	ｼﾞｪ		202405
9784-794608079	81014	2024/5/20	Ｉｎｔｒｏｄｕｃｔｉｏｎ　ｔｏ　ＳＤＧｓ	山口 晴代 著　エド・ジェイコブ 著	ＩＢＣパブリッシング	2024	8 175p	18cm	ラダーシリーズ	837.7	ﾔﾏ		202405
9784-087754674	81190	2024/5/10	22歳の扉	青羽悠 著	集英社	2024	332p	19cm		913.6	ｱｵ		202405
9784-103549512	81191	2024/5/20	成瀬は天下を取りにいく	宮島 未奈 著	新潮社	2023	201p	20cm		913.6	ﾐﾔ		202405
9784-535527454	81192	2024/5/20	三淵嘉子と家庭裁判所	清永 聡 編著	日本評論社	2023	11 142p	26cm		289.1	ﾐﾌﾞ		202405
9784-004320012	81193	2024/5/20	ケアの倫理	岡野 八代 著	岩波書店	2024	3 328 8p	18cm	岩波新書　新赤版　２００１	311.1	ｵｶ		202405
9784-004320036	81194	2024/5/20	ヨーロッパ史	大月 康弘 著	岩波書店	2024	13 230 16p	18cm	岩波新書　新赤版　２００３	230	ｵｵ		202405
9784-004320074	81195	2024/5/20	財政と民主主義	神野 直彦 著	岩波書店	2024	6 250 5p	18cm	岩波新書　新赤版　２００７	342.1	ｼﾞﾝ		202405
9784-004320081	81196	2024/5/20	同性婚と司法	千葉 勝美 著	岩波書店	2024	13 202p	18cm	岩波新書　新赤版　２００８	324.6	ﾁﾊﾞ		202405
9784-004320098	81197	2024/5/20	ジェンダー史１０講	姫岡 とし子 著	岩波書店	2024	10 225 8p	18cm	岩波新書　新赤版　２００９	367.2	ﾋﾒ		202405
9784-004320104	81198	2024/5/20	〈一人前〉と戦後社会	禹 宗【ウォン】 著　沼尻 晃伸 著	岩波書店	2024	3 267 7p	18cm	岩波新書　新赤版　２０１０	210.7	ｳｰ		202405
9784-004319993	81199	2024/5/20	豆腐の文化史	原田 信男 著	岩波書店	2023	8 236 22p	18cm	岩波新書　新赤版　１９９９	383.8	ﾊﾗ		202405
9784-004320005	81200	2024/5/20	耳は悩んでいる	小島 博己 編	岩波書店	2023	20 214 4p	18cm	岩波新書　新赤版　２０００	496.6	ｺｼﾞ		202405
9784-000272537	81201	2024/5/20	物語、英語で読んでみない？	佐藤 和哉 著	岩波書店	2023	11 114p	19cm	岩波ジュニアスタートブックス　ジュニスタ	837.5	ｻﾄ		202405
9784-005009794	81202	2024/5/20	１０代のうちに考えておきたいジェンダーの話	堀内 かおる 著	岩波書店	2023	10 196p	18cm	岩波ジュニア新書　９７９	367.1	ﾎﾘ		202405
9784-005009824	81203	2024/5/20	縄文時代を解き明かす	阿部 芳郎 編著	岩波書店	2024	8 209 5p	18cm	岩波ジュニア新書　９８２	210.2	ｱﾍﾞ		202405
9784-005009800	81204	2024/5/20	食べものから学ぶ現代社会	平賀 緑 著	岩波書店	2024	20 194p	18cm	岩波ジュニア新書　９８０	611.3	ﾋﾗ		202405
9784-005009817	81205	2024/5/20	原発事故、ひとりひとりの記憶	吉田 千亜 著	岩波書店	2024	10 226p	18cm	岩波ジュニア新書　９８１	369.3	ﾖｼ		202405
9784-002710884	81206	2024/5/20	同性婚法制化のためのＱ＆Ａ	「結婚の自由をすべての人に」訴訟全国弁護団連絡会 著	岩波書店	2024	63p	21cm	岩波ブックレット　Ｎｏ．１０８８	324.6	ｹｯ		202405
9784-002710891	81207	2024/5/20	命をつなぐ、献血と骨髄バンク	岡田 晴恵 著	岩波書店	2024	52p	21cm	岩波ブックレット　Ｎｏ．１０８９	492.9	ｵｶ		202405
