ISBN	rgtn	ukeymd	title	auth	pub	pub_year	page	size	series	cls1	cls2	cls3	ukeymd_1
9784-309265186	35609	2022/2/28	マスード　--愛しの大地アフガン--	長倉　洋海	河出書房新社	2001	111	26	写真集	748	ﾅ		202202
9784-062108676	35610	2022/2/28	ほんね。 : Ototake diary 2000～2001	乙武洋匡 著	講談社	2001	299p	18cm		915.6	ｵﾄ		202202
9784-768301418	35611	2022/2/28	装丁の仕事１３２人	日本図書設計家協会	日本図書設計家協会	2001	149	26	画集	022.57	ﾆ		202202
9784-062715270	35612	2022/2/28	いい女がつくるパパッとかっこいい料理	井上　絵美	講談社	2001	111	26		596	ｲ		202202
	35613	2022/2/28	賢治の見た星空	藤井　旭	作品社	2001	247	25	天体写真	442	ﾌ		202202
9784-569618845	35614	2022/2/28	入門　ホームヘルパーになろう！　--仕事の中身から資格取得・ステップアップまで--	前川　美智子	ＰＨＰ研究所	2001	165	19		366	ﾏ		202202
9784-048970242	35615	2022/2/28	耳に残るは君の歌声	サリー・ポッター 著、野沢佳織 編訳	角川書店	2001	236p	19cm	Book plus	933.7	ﾎﾟｯ		202202
9784-048970228	35616	2022/2/28	迷い猫	ヴィッキー・アラン 著、樋口真理 訳	角川書店	2001	358p	19cm	Book plus	933.7	ｱﾗ		202202
9784-562034352	35617	2022/2/28	特攻の真実　--命令と献身と遺族の心--	深堀　道義	原書房	2001	370	20		210.75	ﾌ		202202
9784-838713172	35618	2022/2/28	東京タワー	江國香織 著	マガジンハウス	2001	297p	20cm		913.6	ｴｸ		202202
9784-872900941	35619	2022/2/28	片づかない！　見つからない！　間に合わない！	リン・ワイス／ニキ・リンコ．訳	ＷＡＶＥ出版	2001	398	19		146	ﾜ		202202
9784-750351674	51363	2021/6/22	現代カナダを知るための６０章　第２版	飯野 正子 総監修　竹中 豊 総監修　日本カナダ学会 編	明石書店	2021	380p	19cm	エリア・スタディーズ　８３	302.5	ゲ		202106
9784-750516851	51364	2021/6/22	越えていく人　南米、日系の若者たちをたずねて	神里 雄大 著	亜紀書房	2021	309p	19cm		334.4	カ		202106
9784-022951069	51365	2021/6/22	アパレルの終焉と再生	小島 健輔 著	朝日新聞出版	2020	229p	18cm	朝日新書　７９５	589.2	コ		202106
9784-023333550	51366	2021/6/22	痛くない！疲れない！歩き方の教科書　腰痛、ひざ痛、足首痛、外反母趾…	木寺 英史 著	朝日新聞出版	2020	159p	21cm		498.3	キ		202106
9784-022649874	51367	2021/6/22	いのち	末國 善己 編　朝井 まかて 著　安住 洋子 著　川田 弥一郎 著　澤田 瞳子 著　山本 一力 著　山本 周五郎 著　和田 はつ子 著	朝日新聞出版	2021	348p	15cm	朝日文庫　す２５－１	913.68	イ		202106
9784-023333345	51368	2021/6/22	お金の使い方テク　ムダを減らして、増やして安心！	内山 貴博 著　朝日新聞出版 編著	朝日新聞出版	2021	255p	19cm		591	ウ		202106
9784-022649850	51369	2021/6/22	刑事という生き方　警察小説アンソロジー	米澤 穂信 著　呉 勝浩 著　黒川 博行 著　麻見 和史 著　長岡 弘樹 著　深町 秋生 著　村上 貴史 編	朝日新聞出版	2021	338p	15cm	朝日文庫　む１５－２	913.68	ケ		202106
9784-023319301	51370	2021/6/22	災害特派員	三浦 英之 著	朝日新聞出版	2021	293p	19cm		369.3	ミ		202106
9784-022649867	51371	2021/6/22	ぼくがきみを殺すまで	あさの あつこ 著	朝日新聞出版	2021	277p	15cm	朝日文庫　あ６６－３	913.6	ｱｻ		202106
9784-022649799	51372	2021/6/22	歪んだ名画　美術ミステリーアンソロジー	赤江 瀑 著　泡坂 妻夫 著　恩田 陸 著　黒川 博行 著　法月 綸太郎 著　平山 夢明 著　松本 清張 著　連城 三紀彦 著　千街 晶之 編	朝日新聞出版	2021	378p	15cm	朝日文庫　せ１１－１	913.68	ﾕ		202106
